,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,100,-1_health_amp_grant_covid19,"[('health', 0.030490598255226473), ('amp', 0.017233581521709895), ('grant', 0.016110219048529734), ('covid19', 0.013435524701299217), ('donation', 0.013281937928420357), ('help', 0.011314126064251973), ('mental', 0.010155516307039562), ('support', 0.010134817343564115), ('thank', 0.009899860306220476), ('charity', 0.009698278308036731)]",positive
1,0,31,0_fundraising_support_childrens_every,"[('fundraising', 0.04305446444848784), ('support', 0.039109018572668755), ('childrens', 0.03326585786154052), ('every', 0.03161315963558133), ('childrens hospital', 0.029492178790516205), ('hospital', 0.02856087773305287), ('fundraising event', 0.027294445352399693), ('today', 0.02707633014333694), ('health', 0.027010670328931626), ('running', 0.026811071627742007)]",positive
2,1,23,1_health_provide_research_amp,"[('health', 0.03532995679024257), ('provide', 0.029327980436780848), ('research', 0.025480271672995866), ('amp', 0.023472138032568875), ('grants', 0.021840232862567886), ('mental health', 0.02093603307483647), ('mental', 0.020747719815281826), ('donations', 0.02056687817543272), ('youth', 0.018200194052139903), ('help', 0.017336069661950084)]",positive
3,2,20,2_donation_kitties_thankyou_kitties care,"[('donation', 0.05729628391695762), ('kitties', 0.03546470316649549), ('thankyou', 0.03283219161030489), ('kitties care', 0.03283219161030489), ('adoptable kitties care', 0.03283219161030489), ('adoptable kitties', 0.03283219161030489), ('adoptable', 0.03283219161030489), ('safeteamrescue', 0.03283219161030489), ('yeg', 0.032141623050136695), ('thank', 0.031891224543690366)]",positive
4,3,18,3_health_good_happiness_keep,"[('health', 0.04954704384046557), ('good', 0.04181134759013355), ('happiness', 0.035802050265673166), ('keep', 0.034967827898436006), ('love', 0.03298013951951712), ('life', 0.026230854884793226), ('granted', 0.021625048729280248), ('always', 0.0196508548173305), ('ability', 0.0196508548173305), ('charity', 0.019111244353334018)]",positive
5,4,13,4_vaccine_health_car_plasma,"[('vaccine', 0.047870241211330634), ('health', 0.03415355651043857), ('car', 0.03411495339716152), ('plasma', 0.03411495339716152), ('yesterday', 0.03411495339716152), ('week', 0.030353026121363497), ('today', 0.027798932360663043), ('gas', 0.026758493623681646), ('yesterday covid19', 0.026758493623681646), ('covid19 vaccine today', 0.026758493623681646)]",positive
