,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,17,-1_saudi_covid19_years fully vaccinated_saudi ministry,"[('saudi', 0.07892638819746821), ('covid19', 0.05780087193493855), ('years fully vaccinated', 0.044086638869782604), ('saudi ministry', 0.044086638869782604), ('health negative pcr', 0.044086638869782604), ('ministry health negative', 0.044086638869782604), ('instructions', 0.044086638869782604), ('covid19 vaccines approved', 0.044086638869782604), ('hours departure', 0.044086638869782604), ('covid19 vaccines', 0.044086638869782604)]",negative
1,0,325,0_health_amp_covid19_travel,"[('health', 0.024007692820940216), ('amp', 0.016932796848533493), ('covid19', 0.014462300105794617), ('travel', 0.012028133295791924), ('covid', 0.00984886129323252), ('message', 0.008361853682340525), ('govt', 0.008286898238031451), ('people', 0.008286898238031451), ('hospital', 0.00775065950044088), ('allowance', 0.007155955112863758)]",negative
2,1,91,1_message pakistan_womenwhocode_covid19 harrasment genderequality_harrasment,"[('message pakistan', 0.0730855976784053), ('womenwhocode', 0.07244484467130997), ('covid19 harrasment genderequality', 0.07182809514653343), ('harrasment', 0.07182809514653343), ('harrasment genderequality', 0.07182809514653343), ('harrasment genderequality genshinimpact', 0.07182809514653343), ('covid19 harrasment', 0.07182809514653343), ('pakistan covid19 harrasment', 0.07182809514653343), ('mentalhealthawareness cotla 16days', 0.07163310060118742), ('mentalhealthawareness cotla', 0.07163310060118742)]",negative
3,2,84,2_indianarmy pakistanarmy jointly_jointly fight together_loc moment_forget loc moment,"[('indianarmy pakistanarmy jointly', 0.0725276225158088), ('jointly fight together', 0.0725276225158088), ('loc moment', 0.0725276225158088), ('forget loc moment', 0.0725276225158088), ('forget loc', 0.0725276225158088), ('pakistanarmy jointly fight', 0.0725276225158088), ('pakistanarmy jointly', 0.0725276225158088), ('pakistanarmy', 0.0725276225158088), ('jointly fight', 0.0725276225158088), ('jointly', 0.0725276225158088)]",negative
4,3,26,3_coronainpakistan_allah_pmimrankhan_covid lockdownend,"[('coronainpakistan', 0.08652775765285485), ('allah', 0.056369686831391895), ('pmimrankhan', 0.054959212723891475), ('covid lockdownend', 0.049174050540378086), ('pmimrankhan really lockdownextention', 0.049174050540378086), ('allah bless kind', 0.049174050540378086), ('really lockdownextention', 0.049174050540378086), ('care allah bless', 0.049174050540378086), ('care allah', 0.049174050540378086), ('caption moment covid19', 0.049174050540378086)]",negative
5,4,19,4_together_fight_message issue_indiafightscoronavirus,"[('together', 0.07513439802888452), ('fight', 0.07495858323449123), ('message issue', 0.07275753019803577), ('indiafightscoronavirus', 0.07275753019803577), ('indiafightscoronavirus indiafightscovid19 pmcaresfunds', 0.07275753019803577), ('indiafightscovid19 pmcaresfunds', 0.07275753019803577), ('defeating covid19 message', 0.07275753019803577), ('defeating covid19', 0.07275753019803577), ('defeating', 0.07275753019803577), ('message issue forget', 0.07275753019803577)]",negative
