Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,10,-1_poor_get_celebratinglife stayinghealthy brother_celebratinglife stayinghealthy,"[('poor', 0.031380502414550746), ('get', 0.028996001617032977), ('celebratinglife stayinghealthy brother', 0.023644818253674833), ('celebratinglife stayinghealthy', 0.023644818253674833), ('weareinthistogether hello sunny', 0.023644818253674833), ('stayingintocelebrate', 0.023644818253674833), ('weareinthistogether', 0.023644818253674833), ('lockdown stayingintocelebrate', 0.023644818253674833), ('niece weareinthistogether hello', 0.023644818253674833), ('niece weareinthistogether', 0.023644818253674833)]",negative,"['poor', 'get', 'celebratinglife stayinghealthy brother', 'celebratinglife stayinghealthy', 'weareinthistogether hello sunny', 'stayingintocelebrate', 'weareinthistogether', 'lockdown stayingintocelebrate', 'niece weareinthistogether hello', 'niece weareinthistogether ']"
1,0,18,0_health_help_us_quarantine,"[('health', 0.029329055627055702), ('help', 0.02155802399168122), ('us', 0.020236204259226922), ('quarantine', 0.020236204259226922), ('didnt', 0.01808458621674024), ('people', 0.01808458621674024), ('dont', 0.017327892122709167), ('care', 0.017327892122709167), ('amp', 0.016710398203848502), ('spain', 0.014296016432937729)]",negative,"['health', 'help', 'us', 'quarantine', 'didnt', 'people', 'dont', 'care', 'amp', 'spain ']"
2,1,14,1_nurses_wave_vaccine_experienced,"[('nurses', 0.05972739974051448), ('wave', 0.029462805044772646), ('vaccine', 0.029462805044772646), ('experienced', 0.029462805044772646), ('covid', 0.028230024249913686), ('help', 0.02341440939096488), ('helping', 0.023290593438661047), ('patients', 0.023290593438661047), ('doctors', 0.022097103783579482), ('im', 0.020418017805327388)]",negative,"['nurses', 'wave', 'vaccine', 'experienced', 'covid', 'help', 'helping', 'patients', 'doctors', 'im ']"
