,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,18,-1_covid19_prs_singaporeans_support,"[('covid19', 0.0393979445074226), ('prs', 0.03920782668738779), ('singaporeans', 0.03364487222522992), ('support', 0.0328466091107917), ('leave', 0.029439263197076175), ('sporeans prs', 0.027968557985942756), ('nopay', 0.027968557985942756), ('nopay leave', 0.027968557985942756), ('nopay leave salary', 0.027968557985942756), ('sporeans', 0.027968557985942756)]",negative
1,0,148,0_support_singapore_health_people,"[('support', 0.029340236907246013), ('singapore', 0.02695215360082443), ('health', 0.023117510216112292), ('people', 0.016654781650580073), ('covid', 0.011780413018060524), ('mental health', 0.01157096074941233), ('mental', 0.01157096074941233), ('covid19', 0.010948690017152336), ('supporting', 0.010061704999488984), ('amp', 0.010021048042281537)]",negative
2,1,21,1_military_medical_whatshappeninginmyanmar_su,"[('military', 0.04193727274894419), ('medical', 0.04024058315951153), ('whatshappeninginmyanmar', 0.03938613594647199), ('su', 0.032744769013026635), ('protest', 0.029299109021334542), ('movement', 0.028651672886398305), ('save', 0.027108654860640978), ('amp', 0.02598664713790563), ('support', 0.025925359333874878), ('civilians', 0.025754380478722288)]",negative
3,2,19,2_party_worker party_worker_raeesah,"[('party', 0.0914062732761348), ('worker party', 0.0697503746577894), ('worker', 0.06647015865497355), ('raeesah', 0.0302259406274092), ('supporters', 0.02981138167949169), ('slogan', 0.027169456329201532), ('cheap', 0.027169456329201532), ('blame', 0.023307795251063974), ('supporter', 0.021288613244631126), ('pritam', 0.019299126059492352)]",negative
4,3,14,3_home_frontline_sgunited_amp,"[('home', 0.08808926799190782), ('frontline', 0.06466365446203508), ('sgunited', 0.061454890866838155), ('amp', 0.05688619273969391), ('singtogethersg singaporetogether stayhomeforsg', 0.0524760161576141), ('singing home', 0.0524760161576141), ('fight covid19 singtogethersg', 0.0524760161576141), ('singaporetogether stayhomeforsg sgunited', 0.0524760161576141), ('singing home support', 0.0524760161576141), ('amp thank', 0.0524760161576141)]",negative
