,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,12,-1_course_vaccination_health authorities covid19_teams,"[('course', 0.07169293940898787), ('vaccination', 0.04535991629655573), ('health authorities covid19', 0.03892311786058206), ('teams', 0.03892311786058206), ('vaccination campaign', 0.03892311786058206), ('employed industrial areas', 0.03892311786058206), ('industrial areas samut', 0.03892311786058206), ('teams vaccinating locals', 0.03892311786058206), ('locals', 0.03892311786058206), ('locals also', 0.03892311786058206)]",positive
1,0,159,0_donation_singapore_blood_donations,"[('donation', 0.034075226856392145), ('singapore', 0.01670377266401064), ('blood', 0.015193610171630085), ('donations', 0.014031000179997666), ('charity', 0.01313096228011117), ('covid19', 0.01234672892435434), ('help', 0.011375828643653836), ('thank', 0.011043510638389825), ('support', 0.010605777226243637), ('medical', 0.009775332455573268)]",positive
2,1,57,1_allah_may_grant_health,"[('allah', 0.07078138209446887), ('may', 0.058865169584655555), ('grant', 0.05867106193737135), ('health', 0.05810861610067117), ('may allah', 0.05274241964632314), ('good', 0.0400960913092574), ('good health', 0.036939482278883155), ('allah grant', 0.03673952231987203), ('may allah grant', 0.034488153162122906), ('happiness', 0.030741079957418604)]",positive
3,2,39,2_singapore_migrant_covid19_workers,"[('singapore', 0.04674842678038563), ('migrant', 0.03669029865649429), ('covid19', 0.03339694632503193), ('workers', 0.025817298861306164), ('migrant workers', 0.022592191645463208), ('migrants', 0.02126888907918075), ('asean', 0.02012939371497477), ('refugees', 0.016868891776366905), ('labour', 0.01622607629463456), ('lockdown', 0.015951666809385562)]",positive
4,3,34,3_migrant_worker_migrant workers_workers,"[('migrant', 0.07585670885676606), ('worker', 0.050022965701327075), ('migrant workers', 0.04995621223409664), ('workers', 0.048304909590439), ('migrant worker', 0.038302005881294274), ('covid19', 0.02565241349394738), ('equipped', 0.021524037609964932), ('hospitals', 0.017096182058063708), ('including', 0.01675225038894564), ('health', 0.016225949243738852)]",positive
5,4,28,4_birthday_may_happy_allah,"[('birthday', 0.06474116177050769), ('may', 0.05690801560869514), ('happy', 0.05471562376788755), ('allah', 0.045799717825832795), ('happy birthday', 0.045074208064360126), ('health', 0.042595456146193346), ('grant', 0.04254027125126542), ('may allah', 0.04075169467108592), ('good', 0.031841013686763224), ('good health', 0.029334294750877798)]",positive
6,5,14,5_granted_take_life_take granted,"[('granted', 0.04807950588522822), ('take', 0.044366794879176726), ('life', 0.03963205815469157), ('take granted', 0.03286394456431841), ('things', 0.03286394456431841), ('safe', 0.03177962995598004), ('sustain', 0.02940686192757112), ('risk', 0.02940686192757112), ('old', 0.02940686192757112), ('feeling', 0.02940686192757112)]",positive
