,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,39,-1_health_covid19_cases_covid,"[('health', 0.02841318676816959), ('covid19', 0.01993754760970991), ('cases', 0.017934502412763755), ('covid', 0.016919555319486988), ('grenada', 0.016311661350954583), ('granted', 0.016311661350954583), ('donations', 0.016133994254088437), ('cant', 0.015611146545565358), ('public', 0.01463988662712047), ('venezuela', 0.01463988662712047)]",negative
1,0,15,0_people_charity_donations_stupid,"[('people', 0.032478524927905754), ('charity', 0.028350929903758152), ('donations', 0.027426165459115085), ('stupid', 0.023576719487049), ('idiot', 0.023576719487049), ('model', 0.023576719487049), ('time', 0.01854950015778325), ('help', 0.017682539615286753), ('get', 0.017682539615286753), ('going', 0.017682539615286753)]",negative
2,1,10,1_us_donation_received_received donation,"[('us', 0.06926534413558087), ('donation', 0.06458846846477387), ('received', 0.05092420771053655), ('received donation', 0.05092420771053655), ('barbados', 0.049490244245486016), ('government', 0.043744913178813065), ('health', 0.04357868832459656), ('covid19', 0.03931609855746533), ('bostic', 0.036466795094454295), ('lt', 0.036466795094454295)]",negative
