,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,1,-1_taurate_amazon_threonate_fantastic heart health,"[('taurate', 0.3257311762343295), ('amazon', 0.18061622813524833), ('threonate', 0.18061622813524833), ('fantastic heart health', 0.18061622813524833), ('love taurate', 0.18061622813524833), ('fantastic heart', 0.18061622813524833), ('fantastic', 0.18061622813524833), ('excellent product love', 0.18061622813524833), ('excellent product', 0.18061622813524833), ('excellent', 0.18061622813524833)]",positive
1,0,39,0_support_health_covid19_need,"[('support', 0.04595200260597753), ('health', 0.037520517132927776), ('covid19', 0.02193791068584982), ('need', 0.017037466936038467), ('doctors', 0.01530566103059283), ('panama', 0.013767992902097738), ('world', 0.013513179793043258), ('care', 0.013513179793043258), ('supporting', 0.013119138026222424), ('thanks', 0.011649698605233924)]",positive
2,1,17,1_pool_happy_waiting_swimmingpool,"[('pool', 0.09321604281071763), ('happy', 0.08506001957773777), ('waiting', 0.07065061685800847), ('swimmingpool', 0.058218057619720244), ('travel', 0.05495621836980061), ('swimmingpool pool casaareka', 0.05495621836980061), ('pool casaareka travel', 0.05495621836980061), ('casaareka', 0.05495621836980061), ('corona', 0.05495621836980061), ('pool casaareka', 0.05495621836980061)]",positive
