,Topic,Count,TopicLabel,WordScore,Sentiment
16,15,15,15_nurse_joe brown program_realmenwearpink_men peer,"[('nurse', 0.03804821719842231), ('joe brown program', 0.03354002295535248), ('realmenwearpink', 0.03354002295535248), ('men peer', 0.03354002295535248), ('director vincent', 0.03354002295535248), ('councelor', 0.03354002295535248), ('men peer support', 0.03354002295535248), ('coordinator hivaids councelor', 0.03354002295535248), ('joe brown', 0.03354002295535248), ('joe', 0.03354002295535248)]",positive
17,16,15,16_anxiety_webchat_mental health_psychological,"[('anxiety', 0.051594101245832504), ('webchat', 0.04629669244011426), ('mental health', 0.0457363869656221), ('psychological', 0.04518566630699443), ('portal', 0.04518566630699443), ('mental', 0.04510631392886659), ('situations', 0.039675931555378165), ('messages', 0.03281352426317878), ('covid19', 0.03052199185961341), ('health psychosocial support', 0.030123777537996284)]",positive
18,17,15,17_government_testing_local scientists_raisethestandard,"[('government', 0.0380952464253697), ('testing', 0.034721459799319634), ('local scientists', 0.034237486108535053), ('raisethestandard', 0.034237486108535053), ('7pointdemands', 0.034237486108535053), ('scientists health workers', 0.034237486108535053), ('7pointdemands together lets', 0.034237486108535053), ('scientists health', 0.034237486108535053), ('provision funds', 0.034237486108535053), ('government raisethestandard', 0.034237486108535053)]",positive
19,18,13,18_numancia_breakfast_gratitude_togodbetheglory,"[('numancia', 0.05527665433582607), ('breakfast', 0.034525558917325234), ('gratitude', 0.0333754204229715), ('togodbetheglory', 0.030622491176925646), ('saint', 0.030622491176925646), ('saint joseph', 0.030622491176925646), ('brought coffee', 0.030622491176925646), ('brought coffee walking', 0.030622491176925646), ('saint joseph worker', 0.030622491176925646), ('service time', 0.030622491176925646)]",positive
20,19,13,19_pinukpuk_teampnp weserveandprotect pnpkakampimo_teampnp weserveandprotect_weserveandprotect pnpkakampimo,"[('pinukpuk', 0.05750755069915537), ('teampnp weserveandprotect pnpkakampimo', 0.05493234866788829), ('teampnp weserveandprotect', 0.05493234866788829), ('weserveandprotect pnpkakampimo', 0.05493234866788829), ('weserveandprotect', 0.05493234866788829), ('pnpkakampimo', 0.05493234866788829), ('teampnp', 0.05493234866788829), ('ensure', 0.04674387579193983), ('safety', 0.04113736767171395), ('checkpoint', 0.040759400093724314)]",positive
21,20,13,20_ypeer_due covid19_due_adolescents,"[('ypeer', 0.05355153553197416), ('due covid19', 0.039501608222159944), ('due', 0.03731533966981691), ('adolescents', 0.035038753568064615), ('covid19', 0.032759968013850345), ('needs', 0.0301729785284298), ('commitment support srhr', 0.029801135150493516), ('project getcondom fightcovid19', 0.029801135150493516), ('hello mga', 0.029801135150493516), ('hello mga mahal', 0.029801135150493516)]",positive
22,21,12,21_world_world together_gaga_one world together,"[('world', 0.12013521884299506), ('world together', 0.089025038793743), ('gaga', 0.08154905771422523), ('one world together', 0.08154905771422523), ('covid19 crisis world', 0.08154905771422523), ('world together home', 0.08154905771422523), ('broadcast', 0.08154905771422523), ('organization togetherathome', 0.08154905771422523), ('workers frontlines covid19', 0.08154905771422523), ('crisis world', 0.08154905771422523)]",positive
23,22,12,22_taaleruption2020_basic health services_volunteer_basic health,"[('taaleruption2020', 0.05233871384065841), ('basic health services', 0.05122425105769034), ('volunteer', 0.05024149433847328), ('basic health', 0.04856781609937788), ('3000', 0.0459648165086439), ('deploys emergency', 0.0459648165086439), ('complex around 3000', 0.0459648165086439), ('delivered displaced taaleruption2020', 0.0459648165086439), ('complex', 0.0459648165086439), ('sports complex around', 0.0459648165086439)]",positive
24,23,12,23_medicine_yung fund support_di nalang gamitin_also creating,"[('medicine', 0.050818156466422695), ('yung fund support', 0.035094000852897766), ('di nalang gamitin', 0.035094000852897766), ('also creating', 0.035094000852897766), ('safe effective medicine', 0.035094000852897766), ('scientists benefit us', 0.035094000852897766), ('scientists benefit', 0.035094000852897766), ('support home', 0.035094000852897766), ('medicine covid19', 0.035094000852897766), ('bakit di nalang', 0.035094000852897766)]",positive
25,24,11,24_health emergency_deputy speaker_villafuerte_time enhanced quarantine,"[('health emergency', 0.10857585951205517), ('deputy speaker', 0.08687882094283042), ('villafuerte', 0.08687882094283042), ('time enhanced quarantine', 0.08687882094283042), ('time enhanced', 0.08687882094283042), ('line health', 0.08687882094283042), ('line health safety', 0.08687882094283042), ('lray', 0.08687882094283042), ('lray villafuerte', 0.08687882094283042), ('safety protocols time', 0.08687882094283042)]",positive
26,25,11,25_country_group launches_support strengthening developing_world bank group,"[('country', 0.06636255743028664), ('group launches', 0.06542950921383493), ('support strengthening developing', 0.06542950921383493), ('world bank group', 0.06542950921383493), ('strengthening developing', 0.06542950921383493), ('support strengthening', 0.06542950921383493), ('bank group launches', 0.06542950921383493), ('bank group', 0.06542950921383493), ('strengthening developing country', 0.06542950921383493), ('first operations covid19', 0.06542950921383493)]",positive
