Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,136,-1_health_amp_safe_love,"[('health', 0.024593645239508185), ('amp', 0.017391772176052214), ('safe', 0.017217215854279443), ('love', 0.011485271188052648), ('us', 0.011105770719939867), ('thank', 0.009600475360985255), ('good', 0.009406742008012413), ('stay', 0.00911707789794923), ('help', 0.00821254219559619), ('may', 0.007625787563909576)]",positive,"['health', 'amp', 'safe', 'love', 'us', 'thank', 'good', 'stay', 'help', 'may ']"
1,0,171,0_health_hospital_thank_nursing,"[('health', 0.03305945622487479), ('hospital', 0.01706941941835708), ('thank', 0.016319354440139846), ('nursing', 0.013612299497997481), ('care', 0.011796795530532598), ('nurses', 0.01075254015495247), ('ministry', 0.010615732685321191), ('healthcare', 0.010395901504930936), ('help', 0.010033806217331015), ('israel', 0.00938161068556744)]",positive,"['health', 'hospital', 'thank', 'nursing', 'care', 'nurses', 'ministry', 'healthcare', 'help', 'israel ']"
2,1,158,1_good_god_good health_health,"[('good', 0.039711959644867276), ('god', 0.035323198808542476), ('good health', 0.03508210718456162), ('health', 0.035021676078620244), ('friend', 0.033726140317494366), ('always', 0.032704136065449085), ('thank', 0.03232664404382624), ('happiness', 0.03138275086820396), ('much', 0.02762631235273002), ('thank much', 0.026358118068272367)]",positive,"['good', 'god', 'good health', 'health', 'friend', 'always', 'thank', 'happiness', 'much', 'thank much ']"
3,2,37,2_mental_mental health_health_community,"[('mental', 0.1051529383719343), ('mental health', 0.10169604718218507), ('health', 0.0694906225530612), ('community', 0.04064092617489421), ('support', 0.03317425896382512), ('psychosocial support community', 0.03054497904736495), ('psychosocial', 0.03054497904736495), ('health psychosocial', 0.03054497904736495), ('support community', 0.03054497904736495), ('health psychosocial support', 0.03054497904736495)]",positive,"['mental', 'mental health', 'health', 'community', 'support', 'psychosocial support community', 'psychosocial', 'health psychosocial', 'support community', 'health psychosocial support ']"
4,3,26,3_egypt_egyptian_egypts_cairo,"[('egypt', 0.07262415995047164), ('egyptian', 0.04019258831563871), ('egypts', 0.026349097980549862), ('cairo', 0.026349097980549862), ('appreciate', 0.025392640301512934), ('stayhome', 0.024681965265613278), ('pyramid', 0.02177694901811317), ('stayhome staysafe', 0.020027645087205736), ('stay', 0.0191116210395978), ('safe', 0.019107258191223955)]",positive,"['egypt', 'egyptian', 'egypts', 'cairo', 'appreciate', 'stayhome', 'pyramid', 'stayhome staysafe', 'stay', 'safe ']"
5,4,17,4_covid19_symptoms_health_global,"[('covid19', 0.07217571670623622), ('symptoms', 0.032003641584187864), ('health', 0.030941286558017478), ('global', 0.03002682954500712), ('medicine', 0.02862526794720887), ('vaccines', 0.024669704922448882), ('people', 0.023858023627453956), ('helped reduce', 0.01868231173246684), ('discusses revising covid19', 0.01868231173246684), ('covid19 symptoms', 0.01868231173246684)]",positive,"['covid', 'symptoms', 'health', 'global', 'medicine', 'vaccines', 'people', 'helped reduce', 'discusses revising covid', 'covid symptoms ']"
6,5,11,5_need_vaccination_help_please help,"[('need', 0.07574233162058387), ('vaccination', 0.062211023815085316), ('help', 0.04681149051489828), ('please help', 0.039476511837090264), ('cats', 0.039476511837090264), ('children', 0.03554915646576304), ('possible', 0.034882231769306146), ('safety', 0.03280123822356084), ('need 60', 0.030830550822675457), ('protect infectious viral', 0.030830550822675457)]",positive,"['need', 'vaccination', 'help', 'please help', 'cats', 'children', 'possible', 'safety', 'need', ' protect infectious viral ']"
