Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,54,-1_help_health_covid_dont,"[('help', 0.019815434477529516), ('health', 0.015257374320360834), ('covid', 0.01325435436712216), ('dont', 0.012226218477615507), ('coronavirus', 0.011909485165701327), ('know', 0.01178164832633081), ('us', 0.01156660412421718), ('eu', 0.011013914965941559), ('work', 0.009440498542235621), ('amp', 0.009014625823873915)]",negative,"['help', 'health', 'covid', 'dont', 'coronavirus', 'know', 'us', 'eu', 'work', 'amp ']"
1,0,18,0_health_people_help_dont,"[('health', 0.04509096162588299), ('people', 0.03529184389144921), ('help', 0.027755781433528658), ('dont', 0.026095924997635276), ('mental health', 0.024051283703569144), ('mental', 0.024051283703569144), ('please', 0.023575335121659918), ('dear', 0.021368391211991918), ('dia', 0.017415146076748475), ('dear dear', 0.017415146076748475)]",negative,"['health', 'people', 'help', 'dont', 'mental health', 'mental', 'please', 'dear', 'dia', 'dear dear ']"
2,1,14,1_covid19_lockdown2021_coronavirus_stayhealthy covid19,"[('covid19', 0.063463242946481), ('lockdown2021', 0.058920476291075295), ('coronavirus', 0.05077059435718479), ('stayhealthy covid19', 0.04652968166838431), ('lockdown', 0.04652968166838431), ('stayhealthy', 0.04652968166838431), ('stayhome', 0.045275860355619826), ('vaccine', 0.04001122232041344), ('hungary vaccine', 0.03322032675341943), ('lockdown lockdown2021 stayhome', 0.03322032675341943)]",negative,"['covid', 'lockdown', 'coronavirus', 'stayhealthy covid', 'lockdown', 'stayhealthy', 'stayhome', 'vaccine', 'hungary vaccine', 'lockdown lockdown stayhome ']"
