,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,5,-1_pets_oil help_cbd oil help_cbd,"[('pets', 0.11520896824029252), ('oil help', 0.0822921201716375), ('cbd oil help', 0.0822921201716375), ('cbd', 0.07703816393810585), ('help', 0.07569738028478162), ('oil', 0.06810024641446621), ('marijuana', 0.05587480028149219), ('huge list benefits', 0.055600306952858676), ('cbdoils tinctures', 0.055600306952858676), ('cbdoils tinctures organic', 0.055600306952858676)]",positive
1,0,148,0_health_travel_amp_gift,"[('health', 0.030131532993381102), ('travel', 0.02570021633518512), ('amp', 0.021812142908563075), ('gift', 0.01612763970527606), ('safe', 0.01482120453329012), ('care', 0.012485534980409016), ('spain', 0.012485534980409016), ('give', 0.01050732608886446), ('wellness', 0.010206206878501933), ('visit', 0.010132591065695301)]",positive
2,1,107,1_cbd_organic_cbdoil_oil,"[('cbd', 0.0851088287316217), ('organic', 0.0494596881883944), ('cbdoil', 0.04875185259192833), ('oil', 0.048179766170778814), ('hemp', 0.04811350401970068), ('discounts', 0.04793098576665164), ('tinctures', 0.047682047869769206), ('petcaretips2020', 0.04696335090927477), ('cbdoil tinctures', 0.04620901930000462), ('discounts petcaretips2020', 0.045876837490654104)]",positive
