,Topic,Count,TopicLabel,WordScore,Sentiment
0,0,90,0_health_covid_travel_covid19,False,negative
1,1,28,1_worldwide_ship_cruise ship_cruise,"[('health', 0.01976131999876409), ('covid', 0.015027976477728062), ('travel', 0.014201920477549923), ('covid19', 0.013977873798997162), ('amp', 0.013091448100183827), ('dont', 0.012426960462360715), ('holiday', 0.011751935679818738), ('get', 0.011751935679818738), ('care', 0.01091251170268883), ('spain', 0.009655397669345448)]",negative
2,2,23,2_member diagnosed tuberculosis_princess_warning crew member_breaking,"[('worldwide', 0.10058386488158286), ('ship', 0.07532302158449564), ('cruise ship', 0.07532302158449564), ('cruise', 0.07233701419283733), ('authorities', 0.06118841925986109), ('avoiding', 0.06118841925986109), ('negligence', 0.06118841925986109), ('avoiding health authorities', 0.06118841925986109), ('health authorities', 0.06118841925986109), ('decades avoiding health', 0.06118841925986109)]",negative
3,3,18,3_cbd_discounts_oil_cbd oil,"[('member diagnosed tuberculosis', 0.07548759609801607), ('princess', 0.07548759609801607), ('warning crew member', 0.07548759609801607), ('breaking', 0.07548759609801607), ('passengers board ruby', 0.07548759609801607), ('crew member', 0.07548759609801607), ('crew member diagnosed', 0.07548759609801607), ('cruise lead', 0.07548759609801607), ('passengers board', 0.07548759609801607), ('diagnosed', 0.07548759609801607)]",negative
