,Topic,Count,TopicLabel,WordScore,Sentiment
15,14,706,14_namo app_namo_via namo_via namo app,"[('namo app', 0.045709928794231754), ('namo', 0.04511543033775343), ('via namo', 0.04186480661124591), ('via namo app', 0.04186480661124591), ('app', 0.03926845275581906), ('via', 0.03684487416719159), ('pmcares', 0.01975091679140674), ('pmcares fund', 0.018838459994768377), ('workers', 0.01746760437946919), ('fund', 0.016107721271144283)]",positive
16,15,703,15_recovery_speedy_speedy recovery_manmohan,"[('recovery', 0.05444767593402778), ('speedy', 0.05390811158199283), ('speedy recovery', 0.051385530243087486), ('manmohan', 0.04710901390882222), ('manmohan singh', 0.04553587815300336), ('former', 0.039785306572194576), ('dr manmohan', 0.0380506542085794), ('dr manmohan singh', 0.0363807395761944), ('singh', 0.03625467974926481), ('manmohan singh ji', 0.029495265765028374)]",positive
17,16,699,16_bhaijan_assalamu_assalamu alaikum_alaikum,"[('bhaijan', 0.07497716113092812), ('assalamu', 0.07166546812845133), ('assalamu alaikum', 0.06600906159700204), ('alaikum', 0.06595048092619389), ('dua', 0.06403867708390529), ('remember dua', 0.05962219471937238), ('smile blessings', 0.0594045723263915), ('good health smile', 0.05849244298758583), ('health smile', 0.058478213814905984), ('smile', 0.058287998259706805)]",positive
18,17,680,17_pmcares_indias fight covid19_indias fight_fight covid19 donating,"[('pmcares', 0.07638158161952842), ('indias fight covid19', 0.07179098053104621), ('indias fight', 0.07137687787515855), ('fight covid19 donating', 0.06873390573219311), ('covid19 donating', 0.06870223948842695), ('contributed indias fight', 0.06861403249348909), ('covid19 donating pmcares', 0.06861403249348909), ('contributed indias', 0.06858228149238224), ('donating pmcares', 0.06858228149238224), ('proud contributed indias', 0.06831052987982679)]",positive
19,18,662,18_workers_supermarket_supermarket staff_keeping country running,"[('workers', 0.09025765305614739), ('supermarket', 0.08551891433293372), ('supermarket staff', 0.08542893926982696), ('keeping country running', 0.08487034434033776), ('single essential', 0.08487034434033776), ('country running health', 0.08487034434033776), ('cleaners supermarket', 0.08487034434033776), ('thank workers keeping', 0.08487034434033776), ('cleaners supermarket staff', 0.08487034434033776), ('wheels turnin', 0.08487034434033776)]",positive
20,19,636,19_mask_masks_facemask_mask covid,"[('mask', 0.05326200722491882), ('masks', 0.03024111428639297), ('facemask', 0.01804095483887853), ('mask covid', 0.015704708420157934), ('wear', 0.01443706433837949), ('makeup', 0.013410762246427), ('skincare', 0.012740194043131677), ('mask covid facemask', 0.012601793881731807), ('covid facemask', 0.012601793881731807), ('stayhome', 0.012416118069783495)]",positive
21,20,634,20_good_day happiness life_day happiness_good morning,"[('good', 0.09303179678468727), ('day happiness life', 0.08558216106707751), ('day happiness', 0.08551686450748802), ('good morning', 0.08473094505800144), ('morning', 0.0840691670687327), ('prayer good', 0.0767788494806955), ('prayer', 0.07649771615498792), ('always prayer', 0.07615837485264895), ('prayer good health', 0.07610984050156594), ('always prayer good', 0.07603410919214457)]",positive
22,21,626,21_eid_mubarak_eid mubarak_allah,"[('eid', 0.08088906564960338), ('mubarak', 0.04252327968278117), ('eid mubarak', 0.0354304552705566), ('allah', 0.03425371935259826), ('eidmubarak', 0.03407764086351175), ('may', 0.032849680108123565), ('may allah', 0.02630680830707284), ('peace', 0.020387977653266522), ('family', 0.019800771857204826), ('happiness', 0.01846552250668764)]",positive
23,22,616,22_lord_may_blessings_may lord,"[('lord', 0.05277449681150174), ('may', 0.040637990758094135), ('blessings', 0.033418504616617786), ('may lord', 0.030455604809169114), ('ram', 0.025592076366759673), ('prosperity', 0.024430191244140757), ('shiva', 0.023701711726657543), ('lord shiva', 0.02155692842929944), ('wealth', 0.02072160984547995), ('health wealth', 0.018678949753026402)]",positive
24,23,597,23_blood_plasma_hospital_patient,"[('blood', 0.051901706027848146), ('plasma', 0.05123372952274445), ('hospital', 0.023274888297467808), ('patient', 0.020823898461891227), ('blood group', 0.01803923513382763), ('required', 0.01610345824009724), ('group', 0.01599925095659882), ('contact', 0.015828682382221085), ('help', 0.01546899828593971), ('donor', 0.01506589599908047)]",positive
