,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,15,-1_health_blood_donation_help,"[('health', 0.037596218732461426), ('blood', 0.0303370342970871), ('donation', 0.0303370342970871), ('help', 0.026303631811262065), ('cats', 0.026303631811262065), ('need', 0.025183548492561676), ('god', 0.024269627437669684), ('safety', 0.024269627437669684), ('safe', 0.023497974139187895), ('cause', 0.02081224335406942)]",positive
1,0,15,0_grant_health_us_allah,"[('grant', 0.07107055697720953), ('health', 0.06589478337174982), ('us', 0.05482164574347705), ('allah', 0.05482164574347705), ('may', 0.05235745085230832), ('allah grant', 0.0500185776767137), ('inshallah', 0.028813936921880435), ('may allah', 0.028813936921880435), ('blessed', 0.028813936921880435), ('good', 0.027586957684797853)]",positive
2,1,10,1_health_migrants_tourism_day,"[('health', 0.05812172193234577), ('migrants', 0.0312799945863657), ('tourism', 0.024749694799433904), ('day', 0.024749694799433904), ('refugees migrants', 0.024749694799433904), ('refugees', 0.024749694799433904), ('safe', 0.02095765261062704), ('world health', 0.017713292947293433), ('city', 0.017713292947293433), ('cities', 0.017713292947293433)]",positive
