Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,99,-1_health_safety_hungariangp_good,"[('health', 0.0450447170217104), ('safety', 0.01902031045072561), ('hungariangp', 0.01522710756335158), ('good', 0.013709585053685415), ('day', 0.013063025138950553), ('safe', 0.012938632400738585), ('stay', 0.012247233511920965), ('care', 0.01176239309158053), ('car', 0.011756236875334463), ('safety car', 0.011756236875334463)]",positive,"['health', 'safety', 'hungariangp', 'good', 'day', 'safe', 'stay', 'care', 'car', 'safety car ']"
1,0,52,0_covid19_amp_slovakia_medical,"[('covid19', 0.028360653052904833), ('amp', 0.026301946580497473), ('slovakia', 0.017862906696284403), ('medical', 0.017032035994396146), ('hospital', 0.017032035994396146), ('coronavirus', 0.016745767023215855), ('eu', 0.01483430809511068), ('doctors', 0.014464724417616088), ('thanks', 0.013396613618572683), ('pandemic', 0.013396613618572683)]",positive,"['covid', 'amp', 'slovakia', 'medical', 'hospital', 'coronavirus', 'eu', 'doctors', 'thanks', 'pandemic ']"
2,1,30,1_birthday_happy_wish_happy birthday,"[('birthday', 0.06434333630637785), ('happy', 0.053802472179340005), ('wish', 0.05135052489027123), ('happy birthday', 0.049360607637853195), ('love', 0.04898641263822775), ('health', 0.04449171268327423), ('happiness', 0.041255099221306046), ('good', 0.039998844304983266), ('day', 0.033030792137060686), ('beautiful', 0.03003553309618285)]",positive,"['birthday', 'happy', 'wish', 'happy birthday', 'love', 'health', 'happiness', 'good', 'day', 'beautiful ']"
3,2,29,2_covid19_hard_work_health,"[('covid19', 0.0368641422404437), ('hard', 0.034789574536220925), ('work', 0.029436143297218744), ('health', 0.028301422104411354), ('today', 0.026535787635122102), ('hard work', 0.026481877040275163), ('worldhealthday', 0.026481877040275163), ('home', 0.02585239412266121), ('honor', 0.025297445707234807), ('workers', 0.022159194962281036)]",positive,"['covid', 'hard', 'work', 'health', 'today', 'hard work', 'worldhealthday', 'home', 'honor', 'workers ']"
4,3,19,3_year_new_new year_happy new,"[('year', 0.09887387175250563), ('new', 0.09085775379835602), ('new year', 0.08276903084329133), ('happy new', 0.07141262014681526), ('happy', 0.06899463030160544), ('happy new year', 0.059464287745978166), ('health', 0.04228060938628726), ('wish', 0.04013039425236508), ('good health', 0.03639623063795111), ('love', 0.036368700292017574)]",positive,"['year', 'new', 'new year', 'happy new', 'happy', 'happy new year', 'health', 'wish', 'good health', 'love ']"
5,4,13,4_vs_health_amp_global,"[('vs', 0.0586618577492765), ('health', 0.0578392264882565), ('amp', 0.05405318409502235), ('global', 0.04185894196041592), ('need', 0.03806287283048296), ('people', 0.03387335204484457), ('global health', 0.032859259016101455), ('taiwan', 0.031394206470311936), ('measures', 0.02854715462286222), ('2022', 0.025029610913485704)]",positive,"['vs', 'health', 'amp', 'global', 'need', 'people', 'global health', 'taiwan', 'measures', ' ']"
