Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
14,13,16,13_jupw_florida_formulation bring_suncare formulation bring,"[('jupw', 0.05774290286623072), ('florida', 0.05774290286623072), ('formulation bring', 0.05246897745029533), ('suncare formulation bring', 0.05246897745029533), ('beaches sunny', 0.05246897745029533), ('florida masters suncare', 0.05246897745029533), ('beaches sunny florida', 0.05246897745029533), ('sunny florida masters', 0.05246897745029533), ('sunny florida', 0.05246897745029533), ('born beaches', 0.05246897745029533)]",positive,"['jupw', 'florida', 'formulation bring', 'suncare formulation bring', 'beaches sunny', 'florida masters suncare', 'beaches sunny florida', 'sunny florida masters', 'sunny florida', 'born beaches ']"
15,14,15,14_gun_gun violence_violence_crisis gun violence,"[('gun', 0.07879160873535128), ('gun violence', 0.055643739808159426), ('violence', 0.053079053019342855), ('crisis gun violence', 0.04823109850238687), ('crisis gun', 0.04823109850238687), ('wearorange', 0.04823109850238687), ('health crisis gun', 0.04823109850238687), ('public health crisis', 0.04602300961464123), ('health crisis', 0.04173280485611957), ('wearorange thank raising', 0.04135928816946939)]",positive,"['gun', 'gun violence', 'violence', 'crisis gun violence', 'crisis gun', 'wearorange', 'health crisis gun', 'public health crisis', 'health crisis', 'wearorange thank raising ']"
16,15,15,15_panama_food_foodsafety one main_objectives purpose codex,"[('panama', 0.0671862408181007), ('food', 0.06147544800977714), ('foodsafety one main', 0.05056486133314752), ('objectives purpose codex', 0.05056486133314752), ('objectives', 0.05056486133314752), ('health ensure fairpractices', 0.05056486133314752), ('foodtrade', 0.05056486133314752), ('objectives purpose', 0.05056486133314752), ('foodsafety one', 0.05056486133314752), ('worldfoodsafetyday safer food', 0.05056486133314752)]",positive,"['panama', 'food', 'foodsafety one main', 'objectives purpose codex', 'objectives', 'health ensure fairpractices', 'foodtrade', 'objectives purpose', 'foodsafety one', 'worldfoodsafetyday safer food ']"
17,16,14,16_bh4u_skin_digitalhealth_bh4u health,"[('bh4u', 0.0904954346559288), ('skin', 0.05597218106882877), ('digitalhealth', 0.05231030601008402), ('bh4u health', 0.05231030601008402), ('health digitalhealth biomaterials', 0.05231030601008402), ('besthealth4u bh4u health', 0.05231030601008402), ('digitalhealth biomaterials', 0.05231030601008402), ('bh4u health digitalhealth', 0.05231030601008402), ('health digitalhealth', 0.05231030601008402), ('biomaterials', 0.051283264032788066)]",positive,"['bhu', 'skin', 'digitalhealth', 'bhu health', 'health digitalhealth biomaterials', 'besthealthu bhu health', 'digitalhealth biomaterials', 'bhu health digitalhealth', 'health digitalhealth', 'biomaterials ']"
18,17,13,17_protests_colombia_protest_media,"[('protests', 0.08170890522457797), ('colombia', 0.04974284159138535), ('protest', 0.04446838869014392), ('media', 0.04243256205605219), ('streets', 0.03660736995425377), ('young peoples killed', 0.029626567933047687), ('happening country young', 0.029626567933047687), ('colombia peep hey', 0.029626567933047687), ('happening country', 0.029626567933047687), ('us blm', 0.029626567933047687)]",positive,"['protests', 'colombia', 'protest', 'media', 'streets', 'young peoples killed', 'happening country young', 'colombia peep hey', 'happening country', 'us blm ']"
19,18,13,18_music_songs_health_physical,"[('music', 0.03708074111745532), ('songs', 0.0360347287661511), ('health', 0.034992101883451344), ('physical', 0.030069263591043196), ('different', 0.029742572812562807), ('pharmabusiness', 0.02822755887348159), ('photographer', 0.02822755887348159), ('marketing pharmabusiness', 0.02822755887348159), ('senses learn', 0.02822755887348159), ('photographer music', 0.02822755887348159)]",positive,"['music', 'songs', 'health', 'physical', 'different', 'pharmabusiness', 'photographer', 'marketing pharmabusiness', 'senses learn', 'photographer music ']"
20,19,11,19_bicycle_harvest_harvest happiness_plant,"[('bicycle', 0.08201810734845973), ('harvest', 0.061801235195758863), ('harvest happiness', 0.061801235195758863), ('plant', 0.05858436239175694), ('harvest happiness health', 0.05114848274767073), ('bicycle infrastructure', 0.05114848274767073), ('3rd', 0.048046305021534806), ('infrastructure', 0.04584667624447018), ('happiness health', 0.04584667624447018), ('via', 0.04536888584808024)]",positive,"['bicycle', 'harvest', 'harvest happiness', 'plant', 'harvest happiness health', 'bicycle infrastructure', 'rd', 'infrastructure', 'happiness health', 'via ']"
21,20,11,20_testing_covid19 testing_june_covid19,"[('testing', 0.09885713466994608), ('covid19 testing', 0.0704499191607898), ('june', 0.05404486616018833), ('covid19', 0.04676253057436569), ('testing charlottetown', 0.03911372732733824), ('covid19 testing charlottetown', 0.03911372732733824), ('testing options new', 0.03911372732733824), ('demand increased access', 0.03911372732733824), ('increase testing options', 0.03911372732733824), ('starting june islanders', 0.03911372732733824)]",positive,"['testing', 'covid testing', 'june', 'covid', 'testing charlottetown', 'covid testing charlottetown', 'testing options new', 'demand increased access', 'increase testing options', 'starting june islanders ']"
22,21,11,21_growth_genuine happiness_health healing protection_great opportunities financial,"[('growth', 0.10820419237736545), ('genuine happiness', 0.06675582984550471), ('health healing protection', 0.06675582984550471), ('great opportunities financial', 0.06675582984550471), ('health healing', 0.06675582984550471), ('growth good health', 0.06675582984550471), ('great opportunities', 0.06675582984550471), ('growth stable', 0.06675582984550471), ('growth good', 0.06675582984550471), ('good health healing', 0.06675582984550471)]",positive,"['growth', 'genuine happiness', 'health healing protection', 'great opportunities financial', 'health healing', 'growth good health', 'great opportunities', 'growth stable', 'growth good', 'good health healing ']"
23,22,10,22_tips_exercise_healthsuccess_success tips,"[('tips', 0.11877273852232466), ('exercise', 0.08989779836497451), ('healthsuccess', 0.08868795813659416), ('success tips', 0.08868795813659416), ('health success tips', 0.08868795813659416), ('health success', 0.08407157984466564), ('success', 0.07363005188552595), ('shocking tips check', 0.05063500251531749), ('tips check', 0.05063500251531749), ('problems shocking', 0.05063500251531749)]",positive,"['tips', 'exercise', 'healthsuccess', 'success tips', 'health success tips', 'health success', 'success', 'shocking tips check', 'tips check', 'problems shocking ']"
