Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,69,-1_sleeping_laneige_mask_health,"[('sleeping', 0.02742696160239079), ('laneige', 0.02742696160239079), ('mask', 0.02687630231582462), ('health', 0.023063936835149623), ('sleeping mask', 0.019818802266075256), ('covid19', 0.01670052121056401), ('women', 0.01629022988183394), ('care', 0.015334673107562475), ('eye', 0.015067576236785132), ('good', 0.014366503696490415)]",neutral,"['sleeping', 'laneige', 'mask', 'health', 'sleeping mask', 'covid', 'women', 'care', 'eye', 'good ']"
1,0,86,0_health_care_take_take care,"[('health', 0.04485816889799288), ('care', 0.024868783262053717), ('take', 0.022281706685244925), ('take care', 0.015858520922972914), ('safe', 0.014417574913982009), ('makes', 0.013334836751374684), ('take care health', 0.012675767490858657), ('care health', 0.012675767490858657), ('look', 0.012439953422114096), ('rest', 0.011583766322327374)]",neutral,"['health', 'care', 'take', 'take care', 'safe', 'makes', 'take care health', 'care health', 'look', 'rest ']"
2,1,36,1_coronavirus_medical_cambodia_masks,"[('coronavirus', 0.035337431892574746), ('medical', 0.0241225761739324), ('cambodia', 0.0241225761739324), ('masks', 0.02373906277833899), ('risk', 0.022431397055216046), ('use', 0.02034832922750088), ('mask', 0.01991205114118449), ('cloth', 0.01869114017412384), ('use mask', 0.01869114017412384), ('thailand', 0.018215849800754153)]",neutral,"['coronavirus', 'medical', 'cambodia', 'masks', 'risk', 'use', 'mask', 'cloth', 'use mask', 'thailand ']"
3,2,34,2_covid19_covid_19_covid 19,"[('covid19', 0.06111052907327902), ('covid', 0.037409395410832075), ('19', 0.029558276771333568), ('covid 19', 0.029558276771333568), ('keep', 0.02753395821793657), ('bad', 0.023461059497329923), ('doctors', 0.023461059497329923), ('gpurender rendering mac', 0.02114226409908752), ('gpurender', 0.02114226409908752), ('gpurender rendering', 0.02114226409908752)]",neutral,"['covid', 'covid', '', 'covid', ' keep', 'bad', 'doctors', 'gpurender rendering mac', 'gpurender', 'gpurender rendering ']"
4,3,33,3_auspol_strandedaussies_health_australian,"[('auspol', 0.0342778387323776), ('strandedaussies', 0.02767283491763387), ('health', 0.026066956635274627), ('australian', 0.0230272468029765), ('citizen', 0.018130686195889242), ('australia', 0.018130686195889242), ('pay', 0.01766964740792794), ('state', 0.01766964740792794), ('family', 0.017270435102232373), ('government', 0.016918443791209773)]",neutral,"['auspol', 'strandedaussies', 'health', 'australian', 'citizen', 'australia', 'pay', 'state', 'family', 'government ']"
