,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,85,-1_amp_health_covid19_nurses,"[('amp', 0.020576997685476064), ('health', 0.01588095949833305), ('covid19', 0.014021400268376932), ('nurses', 0.012048245834818382), ('support', 0.011949724229708986), ('need', 0.011565535074483133), ('student', 0.011057418471644744), ('high', 0.011057418471644744), ('one', 0.010748721816013405), ('frontline', 0.010086870270288945)]",negative
1,0,77,0_migrant_workers_covid19_ireland,"[('migrant', 0.028137380679825894), ('workers', 0.025876636432608617), ('covid19', 0.017039896159485854), ('ireland', 0.01655514174529867), ('immigrants', 0.01655406700236496), ('amp', 0.016401954676828746), ('worker', 0.015357173746775666), ('migrant workers', 0.014644965882238094), ('health', 0.013368061546729), ('uk', 0.01138092106412591)]",negative
2,1,59,1_mental health_mental_health_charity,"[('mental health', 0.04534018123707632), ('mental', 0.04534018123707632), ('health', 0.04196918352442454), ('charity', 0.026887880459767952), ('amp', 0.01943650835240128), ('donations', 0.01653468615547609), ('support', 0.015562937749074546), ('issues', 0.015428193332045082), ('people', 0.01541892495702338), ('need', 0.0150625821097549)]",negative
3,2,49,2_charity_health_covid19_new,"[('charity', 0.023463630651833645), ('health', 0.02143030970124223), ('covid19', 0.019002865804189452), ('new', 0.018660492991355745), ('public', 0.01781469052638126), ('covid', 0.014797728360421229), ('healthcare', 0.013867123796442941), ('government', 0.013571267630076905), ('hospitals', 0.013415606970535907), ('hospital', 0.012931454996154907)]",negative
4,3,28,3_nurses_granted_pay_amp,"[('nurses', 0.05124687898490458), ('granted', 0.033973130388369445), ('pay', 0.026246821970764382), ('amp', 0.02286333076164007), ('deserve', 0.0204744559837115), ('taken granted', 0.01963047795799415), ('taken', 0.019276827459179347), ('work', 0.019234448759420722), ('workers', 0.01803523145303025), ('teachers', 0.017493651710766996)]",negative
5,4,19,4_medical_immunity_vaccine_vaccines,"[('medical', 0.04528139361068942), ('immunity', 0.04017400140240664), ('vaccine', 0.034518970101321156), ('vaccines', 0.02763450595397212), ('health', 0.024515514863104347), ('homeopathy', 0.022875276427324762), ('referring', 0.022875276427324762), ('misinformation', 0.022875276427324762), ('exactly months', 0.022875276427324762), ('illogical', 0.022875276427324762)]",negative
6,5,13,5_dublin_donations_city_covid19,"[('dublin', 0.04788120808789225), ('donations', 0.04169474993142691), ('city', 0.03485327550147513), ('covid19', 0.033811447497562486), ('centre', 0.033683634028936094), ('park', 0.03272828068093101), ('cork', 0.03272828068093101), ('first time', 0.031221567271144036), ('first', 0.03060499713136096), ('got', 0.030053636511161504)]",negative
