Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,27,-1_amp_health_increasing_years,"[('amp', 0.02721492037402046), ('health', 0.026984335652247483), ('increasing', 0.020221002558201136), ('years', 0.016689233144940065), ('people', 0.016183900836575293), ('like', 0.014007833597780277), ('bias health', 0.013594623610938987), ('deloitte insights', 0.013594623610938987), ('average', 0.013594623610938987), ('deloitte', 0.013594623610938987)]",neutral,"['amp', 'health', 'increasing', 'years', 'people', 'like', 'bias health', 'deloitte insights', 'average', 'deloitte ']"
1,0,70,0_health_mental_mental health_appreciate,"[('health', 0.03294042393319068), ('mental', 0.016214779887369742), ('mental health', 0.016214779887369742), ('appreciate', 0.013898382760602637), ('help', 0.01256203253247236), ('time', 0.0123729324007446), ('much', 0.012148719031599699), ('also', 0.011358829452531234), ('healthcare', 0.01074972404555138), ('better', 0.010096737291138875)]",neutral,"['health', 'mental', 'mental health', 'appreciate', 'help', 'time', 'much', 'also', 'healthcare', 'better ']"
2,1,17,1_covid_get_ie_professor,"[('covid', 0.05863839263945229), ('get', 0.02823453959552587), ('ie', 0.02326936400271637), ('professor', 0.02326936400271637), ('three', 0.02326936400271637), ('hes', 0.02326936400271637), ('people', 0.021747116749148053), ('new', 0.020651934998967628), ('amp', 0.018285024626294995), ('soon', 0.018267775477199263)]",neutral,"['covid', 'get', 'ie', 'professor', 'three', 'hes', 'people', 'new', 'amp', 'soon ']"
3,2,12,2_covid19_france_measures_world secu assurancemaladie,"[('covid19', 0.06594599045549014), ('france', 0.05101645486808541), ('measures', 0.043728389886930355), ('world secu assurancemaladie', 0.040440611053056616), ('imagine political', 0.040440611053056616), ('frances', 0.040440611053056616), ('feckless politicians', 0.040440611053056616), ('feckless', 0.040440611053056616), ('helpless cowardly feckless', 0.040440611053056616), ('feckless politicians imagine', 0.040440611053056616)]",neutral,"['covid', 'france', 'measures', 'world secu assurancemaladie', 'imagine political', 'frances', 'feckless politicians', 'feckless', 'helpless cowardly feckless', 'feckless politicians imagine ']"
