,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,6,-1_giving_anything_small gifts_nrl start giving,"[('giving', 0.06790346054010515), ('anything', 0.04833426164318004), ('small gifts', 0.04833426164318004), ('nrl start giving', 0.04833426164318004), ('outcry', 0.04833426164318004), ('lines essential', 0.04833426164318004), ('lines', 0.04833426164318004), ('takes covid19 nrl', 0.04833426164318004), ('takes covid19', 0.04833426164318004), ('special touches', 0.04833426164318004)]",positive
1,0,28,0_love_god_gifts_health,"[('love', 0.05316211074614795), ('god', 0.04539767001236397), ('gifts', 0.039654124679451876), ('health', 0.027373118381666672), ('gift', 0.0258034421530177), ('us', 0.024306086283178603), ('help', 0.024306086283178603), ('great', 0.020715752786388365), ('power', 0.019708026944010457), ('hope', 0.015762315315871644)]",positive
2,1,28,1_gift_health_research_care,"[('gift', 0.03641208389756892), ('health', 0.028326544054465608), ('research', 0.026035937697280388), ('care', 0.025641657544896716), ('day', 0.023529162561946683), ('im', 0.023386142794008746), ('love', 0.02077443660617951), ('package', 0.020644118539905845), ('care package', 0.020644118539905845), ('bonus', 0.020644118539905845)]",positive
