Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,72,-1_covid19_healthy_health_safe,"[('covid19', 0.017567438612961554), ('healthy', 0.015087262553483347), ('health', 0.014472206156285706), ('safe', 0.013425597338274657), ('appreciate', 0.013250298188925357), ('stay', 0.01283274580312778), ('healthcare', 0.012507078904829355), ('thank', 0.011789672657914379), ('norway', 0.011444497596331137), ('help', 0.010120621710865061)]",positive,"['covid', 'healthy', 'health', 'safe', 'appreciate', 'stay', 'healthcare', 'thank', 'norway', 'help ']"
1,0,80,0_health_help_work_workers,"[('health', 0.028758727655891794), ('help', 0.017909959011455243), ('work', 0.01442402894394076), ('workers', 0.012052332893167896), ('need', 0.012018320837668418), ('well', 0.009565913402451822), ('every', 0.008606271656604705), ('nurse', 0.008337151361845672), ('us', 0.008012213891778945), ('today', 0.007660547900764026)]",positive,"['health', 'help', 'work', 'workers', 'need', 'well', 'every', 'nurse', 'us', 'today ']"
2,1,47,1_thank_safe_take_take care,"[('thank', 0.04867225060270507), ('safe', 0.04734961401580192), ('take', 0.041766557268794836), ('take care', 0.0362342874300977), ('care', 0.03593120882080244), ('stay safe', 0.03224974794602317), ('stay', 0.029844528564327608), ('hope', 0.02880462082921578), ('healthy', 0.02776174006672167), ('family', 0.025626055045764734)]",positive,"['thank', 'safe', 'take', 'take care', 'care', 'stay safe', 'stay', 'hope', 'healthy', 'family ']"
3,2,21,2_norway_health_doctors_norwegian,"[('norway', 0.040460453328855936), ('health', 0.029845959581323637), ('doctors', 0.02782554986905153), ('norwegian', 0.02533420128093486), ('doctors nurses', 0.02533420128093486), ('help', 0.024395503302195917), ('coronavirus covid19norway covid19', 0.022939794694402244), ('giving much especially', 0.022939794694402244), ('ass giving much', 0.022939794694402244), ('coronavirus covid19norway', 0.022939794694402244)]",positive,"['norway', 'health', 'doctors', 'norwegian', 'doctors nurses', 'help', 'coronavirus covidnorway covid', 'giving much especially', 'ass giving much', 'coronavirus covidnorway ']"
4,3,19,3_coronavirus_covid19_people_lifesaving information keep,"[('coronavirus', 0.05306630696123798), ('covid19', 0.03687216980527256), ('people', 0.03217009595640319), ('lifesaving information keep', 0.02822850816861602), ('coronavirus covid19', 0.02822850816861602), ('lifesaving information', 0.02822850816861602), ('information keep', 0.02822850816861602), ('lifesaving', 0.02822850816861602), ('covid19 health alert', 0.02822850816861602), ('people safe', 0.02822850816861602)]",positive,"['coronavirus', 'covid', 'people', 'lifesaving information keep', 'coronavirus covid', 'lifesaving information', 'information keep', 'lifesaving', 'covid health alert', 'people safe ']"
5,4,14,4_mental health_health_mental_sleep,"[('mental health', 0.061930781119955106), ('health', 0.06186516864672424), ('mental', 0.060324969641500706), ('sleep', 0.035869408494376254), ('getting', 0.0256875163999866), ('helps', 0.023913292408123), ('help', 0.02247439031291835), ('cbn helps deeper', 0.021979880591358306), ('schedule', 0.021979880591358306), ('biases', 0.021979880591358306)]",positive,"['mental health', 'health', 'mental', 'sleep', 'getting', 'helps', 'help', 'cbn helps deeper', 'schedule', 'biases ']"
6,5,12,5_digital_covid19_data_harassment,"[('digital', 0.043476444465539575), ('covid19', 0.039955512249086125), ('data', 0.0373866119637777), ('harassment', 0.03104202675187405), ('video chat', 0.03104202675187405), ('chat', 0.03104202675187405), ('sexual harassment', 0.03104202675187405), ('sexual', 0.03104202675187405), ('podcast', 0.03104202675187405), ('data management', 0.03104202675187405)]",positive,"['digital', 'covid', 'data', 'harassment', 'video chat', 'chat', 'sexual harassment', 'sexual', 'podcast', 'data management ']"
7,6,10,6_post_appreciation post_appreciation_workers,"[('post', 0.1427684754963485), ('appreciation post', 0.1427684754963485), ('appreciation', 0.13811602531046743), ('workers', 0.1372662560015604), ('staying home', 0.11104214760827105), ('staying', 0.10581967915242715), ('home', 0.10038789689162543), ('nurses', 0.09811457234509594), ('health workers', 0.09517898366423233), ('support', 0.09510313880272253)]",positive,"['post', 'appreciation post', 'appreciation', 'workers', 'staying home', 'staying', 'home', 'nurses', 'health workers', 'support ']"
