Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
26,25,33,25_amp_health amp_amp fitness_health amp fitness,"[('amp', 0.03470840842555055), ('health amp', 0.014156432707475436), ('amp fitness', 0.012730832720741768), ('health amp fitness', 0.012730832720741768), ('appreciate', 0.011852578916390504), ('know', 0.010961829254228343), ('fitness', 0.010541361765356534), ('coach', 0.009227526668423244), ('well', 0.009131923758410827), ('clean', 0.009012718626556084)]",positive,"['amp', 'health amp', 'amp fitness', 'health amp fitness', 'appreciate', 'know', 'fitness', 'coach', 'well', 'clean ']"
27,26,27,26_herat_public health_sri_university,"[('herat', 0.027817577680238403), ('public health', 0.025577151277617487), ('sri', 0.023184301762898197), ('university', 0.02303172701016898), ('covid19', 0.02263186300944005), ('punjab', 0.02247805120192173), ('new normal', 0.02211350762918345), ('directorate', 0.019086699507601647), ('public', 0.019019127682326022), ('normal', 0.018908895564234876)]",positive,"['herat', 'public health', 'sri', 'university', 'covid', 'punjab', 'new normal', 'directorate', 'public', 'normal ']"
28,27,27,27_quit_tobacco_worldnotobaccoday2022_worldnotobaccoday,"[('quit', 0.0433328731360599), ('tobacco', 0.04268260117944764), ('worldnotobaccoday2022', 0.0425474865059574), ('worldnotobaccoday', 0.04190692711530935), ('encourages youth', 0.04174207206296024), ('tobacco consumption', 0.03928665605925669), ('youth quit', 0.03853473292064271), ('boosting self', 0.03853473292064271), ('boosting self confidence', 0.03853473292064271), ('consumption', 0.038518109454275466)]",positive,"['quit', 'tobacco', 'worldnotobaccoday', 'worldnotobaccoday', 'encourages youth', 'tobacco consumption', 'youth quit', 'boosting self', 'boosting self confidence', 'consumption ']"
29,28,27,28_warriors_gratitude_gratitude health_exemplary service,"[('warriors', 0.029838900520586496), ('gratitude', 0.029151377600210575), ('gratitude health', 0.027052588145553343), ('exemplary service', 0.025142554225549348), ('humanity battling', 0.025142554225549348), ('deepest gratitude health', 0.025142554225549348), ('every ones', 0.025142554225549348), ('humanity battling virulent', 0.025142554225549348), ('warriors exemplary', 0.025142554225549348), ('worldhealthday pray', 0.025142554225549348)]",positive,"['warriors', 'gratitude', 'gratitude health', 'exemplary service', 'humanity battling', 'deepest gratitude health', 'every ones', 'humanity battling virulent', 'warriors exemplary', 'worldhealthday pray ']"
30,29,26,29_oxygen_hospital_patients_beds,"[('oxygen', 0.06344082430243948), ('hospital', 0.019365583925999557), ('patients', 0.019064152722351603), ('beds', 0.018559314909542414), ('oxygen cylinder', 0.01790377173242366), ('cylinder', 0.01790377173242366), ('covid', 0.013574512004666552), ('delhi', 0.012661091049289676), ('availability', 0.012566475932568008), ('hospmittal nursingch hospital', 0.011596818241738022)]",positive,"['oxygen', 'hospital', 'patients', 'beds', 'oxygen cylinder', 'cylinder', 'covid', 'delhi', 'availability', 'hospmittal nursingch hospital ']"
31,30,25,30_birthday_warm_greetings_good health,"[('birthday', 0.039995400969585836), ('warm', 0.034701850696348235), ('greetings', 0.032129467509006374), ('good health', 0.030299704950984042), ('ji', 0.030228809915010927), ('birthday greetings', 0.03005367074351339), ('long life', 0.028103455464841564), ('warm birthday', 0.027428240973326558), ('good', 0.02430487551881835), ('long', 0.024119715396762418)]",positive,"['birthday', 'warm', 'greetings', 'good health', 'ji', 'birthday greetings', 'long life', 'warm birthday', 'good', 'long ']"
32,31,25,31_vegetarian_diet_food_protein,"[('vegetarian', 0.04017439342476118), ('diet', 0.029914652534039816), ('food', 0.02316531344107344), ('protein', 0.02005733361583015), ('saint dr', 0.018417024204447054), ('saint', 0.01833949100700996), ('vegetarian diet', 0.01787474871019335), ('ji', 0.017117518867536305), ('nutrition', 0.01669785656502307), ('healthy', 0.016133966341207746)]",positive,"['vegetarian', 'diet', 'food', 'protein', 'saint dr', 'saint', 'vegetarian diet', 'ji', 'nutrition', 'healthy ']"
33,32,25,32_police_attack_attack policemen_si,"[('police', 0.04239771610067979), ('attack', 0.01996431431235575), ('attack policemen', 0.019540313938312476), ('si', 0.019540313938312476), ('mainbhiharjeetsingh', 0.019540313938312476), ('si harjeet', 0.019540313938312476), ('si harjeet singh', 0.019540313938312476), ('solidarity', 0.019208707395636727), ('harjeet', 0.018985793419784895), ('harjeet singh', 0.018985793419784895)]",positive,"['police', 'attack', 'attack policemen', 'si', 'mainbhiharjeetsingh', 'si harjeet', 'si harjeet singh', 'solidarity', 'harjeet', 'harjeet singh ']"
34,33,24,33_immunity_sperm_boost immunity_fertility,"[('immunity', 0.03230582298341502), ('sperm', 0.023494578287897815), ('boost immunity', 0.016336867031347735), ('fertility', 0.016336867031347735), ('vitamin', 0.015380705356947667), ('immunity fight', 0.013958267117575805), ('insan says', 0.013958267117575805), ('ji insan says', 0.013958267117575805), ('healthy', 0.013744625284811879), ('covid19', 0.013627788478802614)]",positive,"['immunity', 'sperm', 'boost immunity', 'fertility', 'vitamin', 'immunity fight', 'insan says', 'ji insan says', 'healthy', 'covid ']"
35,34,24,34_051_disinfection_051 5733650_03458560369,"[('051', 0.07606155835687378), ('disinfection', 0.044147743468123064), ('051 5733650', 0.04334246189557464), ('03458560369', 0.04334246189557464), ('051 57341856 051', 0.04334246189557464), ('051 57341856', 0.04334246189557464), ('051 5733650 info', 0.04334246189557464), ('contact 03458560369', 0.04334246189557464), ('57341856', 0.04334246189557464), ('03458560369 03165183623 051', 0.04334246189557464)]",positive,"['', 'disinfection', '', '', '', '', '', '', '', 'info', 'contact', '', '', '', '']"
