,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,2,-1_remarkable_amp_school children_white armed,"[('remarkable', 0.14365685324251748), ('amp', 0.11637186718411034), ('school children', 0.08122429272695043), ('white armed', 0.08122429272695043), ('story remarkable white', 0.08122429272695043), ('school children met', 0.08122429272695043), ('white', 0.08122429272695043), ('school', 0.08122429272695043), ('white armed male', 0.08122429272695043), ('woman', 0.08122429272695043)]",positive
1,0,28,0_health_eu_covid19_one,"[('health', 0.04211493487662105), ('eu', 0.028931950655979616), ('covid19', 0.026386924018195625), ('one', 0.023753674989668076), ('project', 0.02101926197926443), ('nurses', 0.02101926197926443), ('amp', 0.01843390568541403), ('grant', 0.01696691070690577), ('care', 0.016491827511372265), ('underpaid', 0.015170659070869303)]",positive
2,1,26,1_good_safe_stay_warm,"[('good', 0.10485935662897367), ('safe', 0.10367784828771424), ('stay', 0.10049021676943311), ('warm', 0.08138211356677995), ('stay safe', 0.06915632560496321), ('night', 0.05009113844915874), ('day', 0.05009113844915874), ('safe good', 0.05009113844915874), ('warm safe', 0.05009113844915874), ('good night', 0.05009113844915874)]",positive
