,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,33,-1_call_fentonsroadtrip skateboardingbackpacker traveltipsbykiwi_fentonsroadtrip_traveltipsbykiwi,"[('call', 0.028054345954471562), ('fentonsroadtrip skateboardingbackpacker traveltipsbykiwi', 0.02209713877282967), ('fentonsroadtrip', 0.02209713877282967), ('traveltipsbykiwi', 0.02209713877282967), ('traveltipsbykiwi solokiwi', 0.02209713877282967), ('solokiwi', 0.02209713877282967), ('fentonsroadtrip skateboardingbackpacker', 0.02209713877282967), ('getstoked', 0.02209713877282967), ('skateboardingbackpacker traveltipsbykiwi solokiwi', 0.02209713877282967), ('skateboardingbackpacker traveltipsbykiwi', 0.02209713877282967)]",negative
1,0,289,0_health_message_people_travel,"[('health', 0.024295381593656303), ('message', 0.018633199696956277), ('people', 0.016007660730422528), ('travel', 0.015999401266211192), ('covid19', 0.013893000248833949), ('amp', 0.01073745271412193), ('nz', 0.010722236030647946), ('covid', 0.010641218995442158), ('get', 0.01049714308792477), ('new', 0.008902150229811959)]",negative
2,1,59,1_nurses_covid19_travel_health,"[('nurses', 0.029376549436304803), ('covid19', 0.02750199104007049), ('travel', 0.022526828831701835), ('health', 0.020002631607196637), ('care', 0.01997944177050282), ('overseas travel', 0.019750282746642863), ('overseas', 0.018606644548831115), ('amp', 0.018063200179897126), ('workers', 0.015747712154470378), ('infected', 0.015349063285776014)]",negative
3,2,23,2_glyphosate_iarc_carcinogen_us,"[('glyphosate', 0.05121175937062581), ('iarc', 0.038578992878868436), ('carcinogen', 0.038578992878868436), ('us', 0.03114482248541716), ('industry', 0.029263862497500466), ('human carcinogen', 0.028489525346398255), ('probable', 0.028489525346398255), ('probable human', 0.028489525346398255), ('probable human carcinogen', 0.028489525346398255), ('human', 0.026246898218676984)]",negative
