,Topic,Count,TopicLabel,WordScore,Sentiment
15,14,25,14_nates_nates car_car sales_nates car sales,"[('nates', 0.0894847016952866), ('nates car', 0.0845468056814326), ('car sales', 0.0845468056814326), ('nates car sales', 0.0845468056814326), ('car', 0.07796259418976591), ('sales', 0.06570560536824833), ('appreciate', 0.03903330667382877), ('thank', 0.03868994414650536), ('stay', 0.03228722710074374), ('car sales family', 0.02862156055947506)]",positive
16,15,24,15_alcohol_trauma_alcohol sales_ban,"[('alcohol', 0.09051117523922168), ('trauma', 0.03945933787124876), ('alcohol sales', 0.03395283334973407), ('ban', 0.031574158808653864), ('sale alcohol', 0.028210636034064873), ('lifting', 0.024684306529806764), ('gauteng', 0.02454778804940257), ('people', 0.024239699240822137), ('emergency', 0.02411083580396447), ('sale', 0.023302775719967785)]",positive
17,16,24,16_reliefreformreward_food_covid19_parcels,"[('reliefreformreward', 0.03901877129384244), ('food', 0.034504077062633136), ('covid19', 0.03127059511001053), ('parcels', 0.030890712635030147), ('food parcels', 0.030890712635030147), ('park', 0.030449609047044232), ('reliefreformreward covid19', 0.028496594176240942), ('ubuntuinaction', 0.026230696867558516), ('coast national', 0.026036356934613855), ('coast national park', 0.026036356934613855)]",positive
18,17,24,17_lockdown_trying_piece_virtualtravelsa,"[('lockdown', 0.06464035294227911), ('trying', 0.030840217928794954), ('piece', 0.029252969795999714), ('virtualtravelsa', 0.023779818047249508), ('travel', 0.0188576845536542), ('restrictions', 0.017105724429691514), ('like', 0.016800014158471193), ('laws like trying', 0.016240016640125834), ('traveldiaries covid19', 0.016240016640125834), ('closed southafrica much', 0.016240016640125834)]",positive
19,18,24,18_samsungpay_nowalletchallenge_vouchers_samsungpay nowalletchallenge,"[('samsungpay', 0.07574000478493488), ('nowalletchallenge', 0.04280756030906359), ('vouchers', 0.04126512610943292), ('samsungpay nowalletchallenge', 0.03828996975650953), ('electricity', 0.03628363764242235), ('way', 0.034537708871648184), ('app', 0.03442928315171825), ('prepaid', 0.033644836575023804), ('phone', 0.031155870492751037), ('easy', 0.02944140453785852)]",positive
20,19,22,19_whatsapp_contact_012_launched whatsapp,"[('whatsapp', 0.06605424059801676), ('contact', 0.042333022010425804), ('012', 0.03707518793478213), ('launched whatsapp', 0.03707518793478213), ('contact type hi', 0.03707518793478213), ('updates regarding coronavirus', 0.03707518793478213), ('060 012 3456', 0.03707518793478213), ('launched whatsapp service', 0.03707518793478213), ('060', 0.03707518793478213), ('contact type', 0.03707518793478213)]",positive
21,20,20,20_still_covid19_working week 2021_limpopo still moretoenjoythissummer,"[('still', 0.03308984536105415), ('covid19', 0.029644196151054562), ('working week 2021', 0.025868468171362832), ('limpopo still moretoenjoythissummer', 0.025868468171362832), ('limpopo still', 0.025868468171362832), ('know limpopo', 0.025868468171362832), ('week 2021 still', 0.025868468171362832), ('thabanantlhana', 0.025868468171362832), ('know limpopo still', 0.025868468171362832), ('still moretoenjoythissummer safe', 0.025868468171362832)]",positive
22,21,18,21_ppe_workers members public_workers members_personal protective,"[('ppe', 0.10034351942909667), ('workers members public', 0.060239237816959834), ('workers members', 0.060239237816959834), ('personal protective', 0.060239237816959834), ('lack ppe personal', 0.060239237816959834), ('lack ppe', 0.060239237816959834), ('regard availability', 0.060239237816959834), ('ppe personal', 0.060239237816959834), ('ppe personal protective', 0.060239237816959834), ('protective equipment', 0.060239237816959834)]",positive
23,22,17,22_bestdrive_tyres_10 years worth_10 years,"[('bestdrive', 0.11858305809996056), ('tyres', 0.10540794010268233), ('10 years worth', 0.06750231373190324), ('10 years', 0.06750231373190324), ('years worth', 0.06750231373190324), ('fuel vouchers', 0.06750231373190324), ('nearest bestdrive', 0.06750231373190324), ('nearest', 0.06727154721425631), ('fuel', 0.06647019415216308), ('worth', 0.06528176756164208)]",positive
24,23,17,23_periscope_live periscope_broadcast_capetowncoronadiary,"[('periscope', 0.054740159890016654), ('live periscope', 0.054740159890016654), ('broadcast', 0.048181547240852676), ('capetowncoronadiary', 0.04710123449987618), ('newyorkall welcome health', 0.04710123449987618), ('corona coronavirus coronavirussa', 0.04710123449987618), ('covid19 blanket travelbannext', 0.04710123449987618), ('periscope day capetowncoronadiary', 0.04710123449987618), ('periscope day', 0.04710123449987618), ('london17h00 newyorkall welcome', 0.04710123449987618)]",positive
25,24,17,24_nurses_international_day_international nurses,"[('nurses', 0.07829320571261818), ('international', 0.06525196609798907), ('day', 0.0490398889865297), ('international nurses', 0.046920137048585706), ('nurses put', 0.04472610642935776), ('every', 0.0424143227933288), ('international day', 0.04170678848763174), ('put', 0.038290603628631764), ('every day', 0.03649343992667777), ('radiology', 0.03515272841031899)]",positive
