,Topic,Count,TopicLabel,WordScore,Sentiment
16,15,107,15_plateletdonation_plateletdonor_giveforlife_carterbloodcare,"[('plateletdonation', 0.03638333491969402), ('plateletdonor', 0.03562351213033592), ('giveforlife', 0.03549598940252155), ('carterbloodcare', 0.03382044863004087), ('giveblood', 0.033645868914321635), ('covid19 mask', 0.029258144642608494), ('platelets', 0.029133362059557848), ('wearamask', 0.02859898857717339), ('platelets plateletdonor', 0.02767613897052107), ('carterbloodcare platelets', 0.025685264142919145)]",positive
17,16,96,16_nursing_nurse_nurses_magnet,"[('nursing', 0.02156366899386987), ('nurse', 0.02081058242205436), ('nurses', 0.01968128852194786), ('magnet', 0.007249301423436394), ('american nurses', 0.006664535272496206), ('nm', 0.006664535272496206), ('nurses foundation', 0.006555516426156407), ('grant', 0.006361271404662969), ('thankyounurses', 0.005893972200194266), ('practice', 0.005373524823008793)]",positive
18,17,87,17_heroes_thank_frontline staff_healthcare worker,"[('heroes', 0.015315082580937955), ('thank', 0.011996224159791452), ('frontline staff', 0.010216084864254665), ('healthcare worker', 0.009508891677463058), ('healthcare', 0.009292880282478183), ('salute', 0.008393209485144654), ('challenge lifetime act', 0.008376511917829963), ('frontline staff salute', 0.008376511917829963), ('healthcare challenge', 0.008376511917829963), ('lifetime act kindness', 0.008376511917829963)]",positive
19,18,83,18_veterans_homeless_homeless veterans_veteran,"[('veterans', 0.03693729310554968), ('homeless', 0.01701081344568397), ('homeless veterans', 0.013077260150629195), ('veteran', 0.009194483259878783), ('greenwood', 0.008512764029406905), ('navy', 0.00794211523986512), ('poppy', 0.006807527348455818), ('homelessness', 0.006440817284818427), ('charity', 0.006383019748426557), ('charity homeless veterans', 0.006370000192100038)]",positive
20,19,82,19_small_business_businesses_small business,"[('small', 0.0343546160786316), ('business', 0.029254417229078834), ('businesses', 0.0281166559023932), ('small business', 0.025971207299949155), ('small businesses', 0.022571259712783946), ('recovery', 0.015333304033563278), ('program', 0.015063791367150641), ('grant program', 0.013308298906182703), ('cares', 0.012795138961951977), ('applications', 0.011932716867544206)]",positive
21,20,75,20_aftertransplantcare_please secure childs_attacks healthcare drove_attacks healthcare,"[('aftertransplantcare', 0.056711088159387045), ('please secure childs', 0.056711088159387045), ('attacks healthcare drove', 0.056711088159387045), ('attacks healthcare', 0.056711088159387045), ('aftertransplantcare fund', 0.056711088159387045), ('aftertransplantcare fund politicians', 0.056711088159387045), ('boys future stake', 0.056711088159387045), ('boys future', 0.056711088159387045), ('politicians attacks', 0.056711088159387045), ('childs aftertransplantcare', 0.056711088159387045)]",positive
22,21,74,21_protective equipment_protective_equipment_personal,"[('protective equipment', 0.020470844438444633), ('protective', 0.02006496723906576), ('equipment', 0.017521616136190413), ('personal', 0.01710859956622349), ('personal protective', 0.016468917790780947), ('personal protective equipment', 0.015597616705790211), ('ppe', 0.012725945039069465), ('donate personal protective', 0.011299113363513642), ('donate personal', 0.011299113363513642), ('safe', 0.009305230179575007)]",positive
23,22,72,22_appreciate_thank_donation_donations,"[('appreciate', 0.01131490611140257), ('thank', 0.010162955942400633), ('donation', 0.00903425623099292), ('donations', 0.00731372273496016), ('city hospital', 0.0067445495809936775), ('north kansas', 0.0067445495809936775), ('north kansas city', 0.0067445495809936775), ('city hospital please', 0.0067445495809936775), ('kansas city hospital', 0.0067445495809936775), ('really appreciate', 0.006560404207745232)]",positive
24,23,69,23_allah_may allah_allah grant_may allah grant,"[('allah', 0.06122324720164989), ('may allah', 0.042111150297738924), ('allah grant', 0.030665820012759942), ('may allah grant', 0.026862201702795192), ('may', 0.025708416979287194), ('ameen', 0.019408510737493622), ('good health', 0.015672539659170613), ('grant', 0.01473232293129731), ('grant health', 0.014062935429607942), ('ya allah', 0.01358316078155928)]",positive
25,24,67,24_organ_organ donation_kidney_donor,"[('organ', 0.04277194561757449), ('organ donation', 0.03099811218008087), ('kidney', 0.025951325588295573), ('donor', 0.025070115167364206), ('transplant', 0.019269077672178597), ('anatomical', 0.01741926115634283), ('tissue', 0.01642221360165729), ('organdonation', 0.014387134430073962), ('kidney donor', 0.013730346734300632), ('tissue donation', 0.012204752652711672)]",positive
26,25,64,25_golf_charity golf_tournament_golf tournament,"[('golf', 0.05852950319086852), ('charity golf', 0.03642735421685503), ('tournament', 0.03598452747609368), ('golf tournament', 0.031409535847800055), ('charity golf tournament', 0.02560355052845118), ('annual charity', 0.02156459554256298), ('annual charity golf', 0.018208793780555718), ('charity', 0.016319616495053844), ('annual', 0.014641781732209232), ('17th annual charity', 0.01218320254598235)]",positive
27,26,63,26_cancer_ontariospirit_thank_newmarket,"[('cancer', 0.014197603098369907), ('ontariospirit', 0.011891405021069895), ('thank', 0.009996637831172201), ('newmarket', 0.009918890230692867), ('strongertogether', 0.008810536985846752), ('toronto', 0.00860308603821668), ('donation go', 0.008337998362883773), ('health centre', 0.008104718558441346), ('donation', 0.008060235318870563), ('indigenous', 0.007650619340135275)]",positive
