Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
0,-1,1,-1_chill_piano_von evatiedemann_via ein paar,"[('chill', 0.27546160437896355), ('piano', 0.27546160437896355), ('von evatiedemann', 0.27546160437896355), ('via ein paar', 0.27546160437896355), ('via ein', 0.27546160437896355), ('thoughts chill piano', 0.27546160437896355), ('thoughts chill', 0.27546160437896355), ('thoughts', 0.27546160437896355), ('von evatiedemann stayhome', 0.27546160437896355), ('quarantine thoughts chill', 0.27546160437896355)]",positive,"['chill', 'piano', 'von evatiedemann', 'via ein paar', 'via ein', 'thoughts chill piano', 'thoughts chill', 'thoughts', 'von evatiedemann stayhome', 'quarantine thoughts chill ']"
1,0,170,0_health_safe_amp_thank,"[('health', 0.02486377302344836), ('safe', 0.019925589019512892), ('amp', 0.01971972347092451), ('thank', 0.019543765893736458), ('covid19', 0.019055171746393044), ('stay', 0.01798966904805994), ('healthy', 0.01598086064347628), ('help', 0.014209459247726096), ('stay safe', 0.01302225861172644), ('stayhome', 0.012479664502904504)]",positive,"['health', 'safe', 'amp', 'thank', 'covid', 'stay', 'healthy', 'help', 'stay safe', 'stayhome ']"
2,1,41,1_sports_mindset_sports health_dance,"[('sports', 0.0807687223408488), ('mindset', 0.07749328237996381), ('sports health', 0.07749328237996381), ('dance', 0.07705425257627568), ('erfolg', 0.0758378501109589), ('sportmotivation sports', 0.07417016583231903), ('sportmotivation', 0.07417016583231903), ('sportmotivation sports health', 0.07417016583231903), ('gesundheit', 0.07079659389243026), ('sports health gesundheit', 0.07079659389243026)]",positive,"['sports', 'mindset', 'sports health', 'dance', 'erfolg', 'sportmotivation sports', 'sportmotivation', 'sportmotivation sports health', 'gesundheit', 'sports health gesundheit ']"
