Unnamed: 0,Topic,Count,TopicLabel,WordScore,Sentiment,TopicWords
89,88,14,88_dudukrumah_kitajagakita_covid19 coronavirus_stayhome dudukrumah,"[('dudukrumah', 0.05498624664699249), ('kitajagakita', 0.04570021816287648), ('covid19 coronavirus', 0.04255709474313919), ('stayhome dudukrumah', 0.038523070767620855), ('coronavirus', 0.0346039726455835), ('coronavirusdisease19 covid19', 0.03442980257936367), ('jgndegil', 0.03442980257936367), ('jgndegil jangandegil', 0.03442980257936367), ('coronavirus phase2', 0.03442980257936367), ('stayathome stayhome dudukrumah', 0.03442980257936367)]",negative,"['dudukrumah', 'kitajagakita', 'covid coronavirus', 'stayhome dudukrumah', 'coronavirus', 'coronavirusdisease covid', 'jgndegil', 'jgndegil jangandegil', 'coronavirus phase', 'stayathome stayhome dudukrumah ']"
90,89,14,89_nurses_allah swt_swt_chose,"[('nurses', 0.03992851375324315), ('allah swt', 0.033615360284081824), ('swt', 0.033615360284081824), ('chose', 0.028909547454832575), ('done unless government', 0.026320852937119717), ('unless government', 0.026320852937119717), ('malaysia underappreciated', 0.026320852937119717), ('actually something change', 0.026320852937119717), ('wrong nothing done', 0.026320852937119717), ('wrong nothing', 0.026320852937119717)]",negative,"['nurses', 'allah swt', 'swt', 'chose', 'done unless government', 'unless government', 'malaysia underappreciated', 'actually something change', 'wrong nothing done', 'wrong nothing ']"
91,90,14,90_school_kids_schools_outside work school,"[('school', 0.06142254840978428), ('kids', 0.029991261378323038), ('schools', 0.028052507014958684), ('outside work school', 0.02654383632188169), ('outside work', 0.02654383632188169), ('gatherings outside', 0.02654383632188169), ('gatherings outside work', 0.02654383632188169), ('bars', 0.025851607394473494), ('work school', 0.025638231494667315), ('thanks', 0.023732794341355837)]",negative,"['school', 'kids', 'schools', 'outside work school', 'outside work', 'gatherings outside', 'gatherings outside work', 'bars', 'work school', 'thanks ']"
92,91,14,91_religious_authority_malaysia_political,"[('religious', 0.027364229891171595), ('authority', 0.025516023707077205), ('malaysia', 0.020453645957518266), ('political', 0.01992911039431872), ('refusing stay', 0.017898887208681866), ('muslims think public', 0.017898887208681866), ('muslims think', 0.017898887208681866), ('movement orderrmo like', 0.017898887208681866), ('malaysian religious authority', 0.017898887208681866), ('refusing stay home', 0.017898887208681866)]",negative,"['religious', 'authority', 'malaysia', 'political', 'refusing stay', 'muslims think public', 'muslims think', 'movement orderrmo like', 'malaysian religious authority', 'refusing stay home ']"
93,92,14,92_request_lockdown_situation_youtube see situation,"[('request', 0.024561565122061122), ('lockdown', 0.02387796974811452), ('situation', 0.023266982993992293), ('youtube see situation', 0.021171120840726726), ('see youtube', 0.021171120840726726), ('go see youtube', 0.021171120840726726), ('youtube see', 0.021171120840726726), ('india even', 0.021171120840726726), ('lockdown last resort', 0.021171120840726726), ('mask lockdown', 0.021171120840726726)]",negative,"['request', 'lockdown', 'situation', 'youtube see situation', 'see youtube', 'go see youtube', 'youtube see', 'india even', 'lockdown last resort', 'mask lockdown ']"
94,93,14,93_working lapses praying_praying avoid_nurses patients_infection control,"[('working lapses praying', 0.04166699334496291), ('praying avoid', 0.04166699334496291), ('nurses patients', 0.04166699334496291), ('infection control', 0.04166699334496291), ('avoid second', 0.04166699334496291), ('avoid second lock', 0.04166699334496291), ('iirc means infection', 0.04166699334496291), ('iirc means', 0.04166699334496291), ('iirc', 0.04166699334496291), ('hospital cluster doctor', 0.04166699334496291)]",negative,"['working lapses praying', 'praying avoid', 'nurses patients', 'infection control', 'avoid second', 'avoid second lock', 'iirc means infection', 'iirc means', 'iirc', 'hospital cluster doctor ']"
95,94,14,94_yet seen much_maskless ignorance_wise idiots_immunises,"[('yet seen much', 0.0607160428868966), ('maskless ignorance', 0.0607160428868966), ('wise idiots', 0.0607160428868966), ('immunises', 0.0607160428868966), ('rest world well', 0.0607160428868966), ('yet seen', 0.0607160428868966), ('ignorance wise', 0.0607160428868966), ('truly terrible waves', 0.0607160428868966), ('truly terrible', 0.0607160428868966), ('thinking current bubble', 0.0607160428868966)]",negative,"['yet seen much', 'maskless ignorance', 'wise idiots', 'immunises', 'rest world well', 'yet seen', 'ignorance wise', 'truly terrible waves', 'truly terrible', 'thinking current bubble ']"
96,95,14,95_slippers berms_lifeisajourney_berms_walking life journey,"[('slippers berms', 0.06006671378750628), ('lifeisajourney', 0.06006671378750628), ('berms', 0.06006671378750628), ('walking life journey', 0.06006671378750628), ('walking life', 0.06006671378750628), ('berms fadedtee', 0.06006671378750628), ('life journey keepwalking', 0.06006671378750628), ('berms fadedtee mask', 0.06006671378750628), ('circuitbreaker wfh', 0.06006671378750628), ('circuitbreaker wfh slippers', 0.06006671378750628)]",negative,"['slippers berms', 'lifeisajourney', 'berms', 'walking life journey', 'walking life', 'berms fadedtee', 'life journey keepwalking', 'berms fadedtee mask', 'circuitbreaker wfh', 'circuitbreaker wfh slippers ']"
97,96,14,96_average_per day_per_death,"[('average', 0.08431644377270583), ('per day', 0.08287695085643554), ('per', 0.0681925786917553), ('death', 0.06702424437931433), ('new deaths added', 0.055301073921856764), ('deaths added average', 0.055301073921856764), ('deaths added', 0.055301073921856764), ('day new deaths', 0.055301073921856764), ('new deaths', 0.054735179305220066), ('added', 0.052275938990011525)]",negative,"['average', 'per day', 'per', 'death', 'new deaths added', 'deaths added average', 'deaths added', 'day new deaths', 'new deaths', 'added ']"
98,97,13,97_laos_thailand_indonesia_asean covid19,"[('laos', 0.04009819632470816), ('thailand', 0.038481950338611015), ('indonesia', 0.03637549786899399), ('asean covid19', 0.03637442250631648), ('apr 2020', 0.03637442250631648), ('35 philippines', 0.03637442250631648), ('brunei 136', 0.03637442250631648), ('136', 0.03564284117751836), ('philippines', 0.03498359121691911), ('vietnam', 0.03488619149276011)]",negative,"['laos', 'thailand', 'indonesia', 'asean covid', 'apr', '', 'philippines', 'brunei', '', ' philippines', 'vietnam ']"
