,Topic,Count,TopicLabel,WordScore,Sentiment
16,15,25,15_safe_spread_reduce spread_reduce,"[('safe', 0.03148402101168307), ('spread', 0.026844522544010426), ('reduce spread', 0.0237957832483512), ('reduce', 0.022480959406863954), ('time', 0.021921876258873613), ('stay', 0.02157001289844573), ('holiday', 0.019994462728358423), ('rules put place', 0.01938876161748205), ('authorities quickly', 0.01938876161748205), ('quickly reduce', 0.01938876161748205)]",negative
17,16,23,16_test_pcr_edo state_edo,"[('test', 0.0504720336771792), ('pcr', 0.03918290952552021), ('edo state', 0.03180549499495988), ('edo', 0.02832598702572241), ('pcr test', 0.02775863134231346), ('negative', 0.025473088521527687), ('teaching hospital', 0.021633856465399216), ('teaching', 0.018479056518860205), ('covid19', 0.017523945162559607), ('certificate', 0.01705924806396711)]",negative
18,17,22,17_ban_impose travel_travel ban_students,"[('ban', 0.03915616280862018), ('impose travel', 0.03144084200143812), ('travel ban', 0.03100756792634207), ('students', 0.030461149574325184), ('impose', 0.030089829255884718), ('travel', 0.029740199367197413), ('impose travel ban', 0.025481999080773445), ('institutions', 0.024424472949716024), ('closing', 0.021234999233977873), ('everything', 0.020136616476675095)]",negative
19,18,22,18_vaccination_dont miss_miss_flight,"[('vaccination', 0.045353172824198214), ('dont miss', 0.04482895337983894), ('miss', 0.04149894004323477), ('flight', 0.03804069503963187), ('vaccine', 0.030626697742487923), ('update vaccination', 0.026926277915245007), ('etc', 0.026285170897582345), ('data', 0.023863850225975584), ('data capturing', 0.023097916013869915), ('feeding allowance etc', 0.023097916013869915)]",negative
20,19,22,19_federal_federal government_covid allowance_allowance,"[('federal', 0.04392798769441555), ('federal government', 0.03467668014511897), ('covid allowance', 0.03097318674299009), ('allowance', 0.027452010380681995), ('paid', 0.022369539334417474), ('government', 0.022145531036637228), ('covid', 0.02078075321486251), ('covid19', 0.01921024477593656), ('paying', 0.018935940052061253), ('federal workers', 0.018760677875502292)]",negative
21,20,22,20_nigerian_senators_salary_nigerian senators,"[('nigerian', 0.033449428977858395), ('senators', 0.03047339847920595), ('salary', 0.028980350839270204), ('nigerian senators', 0.028343450437100008), ('sergeant', 0.024313595804073596), ('senators newspaper allowance', 0.024313595804073596), ('nigerian senators newspaper', 0.024313595804073596), ('senators newspaper', 0.024313595804073596), ('nigeria', 0.023042458535864296), ('newspaper', 0.02303292823090506)]",negative
22,21,22,21_frontline_mustapha_frontline health workers_mails,"[('frontline', 0.039770832004104334), ('mustapha', 0.030620995134924667), ('frontline health workers', 0.030358639344605583), ('mails', 0.030056197532081358), ('frontline health', 0.029873369299288473), ('sgf', 0.029860390504481645), ('presidential', 0.028590619326984017), ('boss', 0.027322775410145026), ('harzard', 0.026299172840571185), ('harzard allowance', 0.026299172840571185)]",negative
23,22,22,22_travellers_hands sanitizers temperatures_jimtlo checkpoint_covid19 borno,"[('travellers', 0.1386647393936407), ('hands sanitizers temperatures', 0.08937172977774879), ('jimtlo checkpoint', 0.08937172977774879), ('covid19 borno', 0.08937172977774879), ('checkpoint travellers also', 0.08937172977774879), ('checkpoint', 0.08937172977774879), ('also wash hands', 0.08937172977774879), ('workers checking temperature', 0.08937172977774879), ('entery', 0.08937172977774879), ('entery maiduguri', 0.08937172977774879)]",negative
24,23,21,23_security_aggravated_bribe ways_security lapses,"[('security', 0.03233460774325355), ('aggravated', 0.03088126962119731), ('bribe ways', 0.03088126962119731), ('security lapses', 0.03088126962119731), ('ninsim linkcitizens', 0.03088126962119731), ('major reason surge', 0.03088126962119731), ('security lapses airport', 0.03088126962119731), ('covid19travellers', 0.03088126962119731), ('lapses', 0.03088126962119731), ('bribe ways enter', 0.03088126962119731)]",negative
25,24,21,24_declare strike action_irresponsible conduct_pandemic naked_pandemic naked blackmail,"[('declare strike action', 0.0339839535562585), ('irresponsible conduct', 0.0339839535562585), ('pandemic naked', 0.0339839535562585), ('pandemic naked blackmail', 0.0339839535562585), ('naked blackmail', 0.0339839535562585), ('naked blackmail based', 0.0339839535562585), ('action amidst covid19', 0.0339839535562585), ('mistaken assumption', 0.0339839535562585), ('action amidst', 0.0339839535562585), ('covid19 pandemic naked', 0.0339839535562585)]",negative
