,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,33,-1_vaccine_jamaicas_covid19 vaccine_nurses,"[('vaccine', 0.030659587318543447), ('jamaicas', 0.028903166541010567), ('covid19 vaccine', 0.027112341906016878), ('nurses', 0.02374834184777115), ('covid19', 0.022209273669249466), ('coronavirus covid19', 0.019537662740885958), ('vaccination', 0.019537662740885958), ('messages', 0.019430461511812762), ('one', 0.019169368010944706), ('government', 0.019169368010944706)]",negative
1,0,50,0_health_travel_public_public health,"[('health', 0.033231854493664864), ('travel', 0.021264732654961968), ('public', 0.015701640726999318), ('public health', 0.01358579197213924), ('allowances', 0.01358579197213924), ('minister', 0.01358579197213924), ('care', 0.013159245493498332), ('amp', 0.011697107105331851), ('work', 0.011291405398002162), ('workers', 0.011053820981089226)]",negative
2,1,31,1_covid19_know_uk_travel,"[('covid19', 0.03163530261026813), ('know', 0.027305204434194492), ('uk', 0.02455587346616817), ('travel', 0.01996487779225152), ('travelled outside', 0.016487219698523157), ('outside', 0.016487219698523157), ('outside country', 0.016487219698523157), ('travelled outside country', 0.016487219698523157), ('someone', 0.016487219698523157), ('persons', 0.016487219698523157)]",negative
3,2,25,2_bonus_dem_police_get,"[('bonus', 0.06850225121618467), ('dem', 0.04941979154381226), ('police', 0.0464042356812826), ('get', 0.03933333410473892), ('even', 0.03780093593440124), ('mi', 0.03752617285220595), ('card', 0.03588484359399116), ('healthcare', 0.03534656815017889), ('work', 0.03024074874752099), ('thank card much', 0.029071341312725287)]",negative
4,3,16,3_us_jamaica_borders_coronavirus,"[('us', 0.04479334081151749), ('jamaica', 0.04479334081151749), ('borders', 0.04338423599562289), ('coronavirus', 0.04102436370116575), ('right', 0.03949584458776252), ('jamaican', 0.03713495177587442), ('would', 0.0322849613756562), ('travel', 0.03018035906853951), ('must', 0.02962188344082189), ('may', 0.02947306769878322)]",negative
5,4,15,4_lockdowns_li_dont_cause,"[('lockdowns', 0.03479511396498139), ('li', 0.03479511396498139), ('dont', 0.03307662199355781), ('cause', 0.033037228791145345), ('cannot', 0.02992510861440873), ('many', 0.02693179017926037), ('covid19', 0.026705629688177274), ('covid', 0.025911719240373776), ('whatsapp', 0.02485039091471697), ('messages', 0.02433774575866118)]",negative
6,5,15,5_jamaica_covid19_warning_said,"[('jamaica', 0.05824139767692818), ('covid19', 0.036946908974461304), ('warning', 0.03500989861908621), ('said', 0.030261862404049523), ('released quarantine', 0.02500378838949917), ('travelers released', 0.02500378838949917), ('requirement business', 0.02500378838949917), ('addition pretesting', 0.02500378838949917), ('pretesting requirement', 0.02500378838949917), ('negative covid19 test', 0.02500378838949917)]",negative
