,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,376,-1_singapore_travel_covid19_amp,"[('singapore', 0.015746115101844062), ('travel', 0.01544476959576919), ('covid19', 0.014845090295032434), ('amp', 0.013577148940202234), ('health', 0.011030443251089754), ('discount', 0.010762133251990033), ('dont', 0.007828279997645163), ('get', 0.007032949028629076), ('reward', 0.006913431578110132), ('malaysia', 0.006786563711624537)]",negative
1,0,648,0_singapore_travel_covid19_allowance,"[('singapore', 0.023961475670011983), ('travel', 0.01944843830812224), ('covid19', 0.014314524426121588), ('allowance', 0.009441109701504257), ('get', 0.009355198541300777), ('health', 0.00904091285750343), ('covid', 0.008949501093424326), ('dont', 0.008791585306951179), ('people', 0.008441136814203547), ('sg', 0.00807528479013772)]",negative
2,1,142,1_petition_sign_healthcare staffs_reinstate,"[('petition', 0.16696631303425963), ('sign', 0.16446130316467114), ('healthcare staffs', 0.1631716890783799), ('reinstate', 0.1631716890783799), ('staffs sign', 0.1631716890783799), ('staffs sign petition', 0.1631716890783799), ('reinstate critical allowance', 0.1631716890783799), ('healthcare staffs sign', 0.1631716890783799), ('reinstate critical', 0.1631716890783799), ('allowance healthcare staffs', 0.1631716890783799)]",negative
3,2,18,2_big_cheap best_screen cinema cheap_murah,"[('big', 0.12413220286620705), ('cheap best', 0.07597549883101196), ('screen cinema cheap', 0.07597549883101196), ('murah', 0.07597549883101196), ('movie ticket tiket', 0.07597549883101196), ('golden screen', 0.07597549883101196), ('murah big', 0.07597549883101196), ('cinema cheap', 0.07597549883101196), ('promo golden', 0.07597549883101196), ('movie ticket', 0.07597549883101196)]",negative
4,3,15,3_chocolate_cookies_jual_ready stock crimebites,"[('chocolate', 0.1247105010712404), ('cookies', 0.11503846069123501), ('jual', 0.06669969057886657), ('ready stock crimebites', 0.0635774031275998), ('sempena merdeka', 0.0635774031275998), ('saya jual', 0.0635774031275998), ('sempena', 0.0635774031275998), ('jual ready stock', 0.0635774031275998), ('dm whatsapp', 0.0635774031275998), ('sales tubs', 0.0635774031275998)]",negative
