,Topic,Count,TopicLabel,WordScore,Sentiment
16,15,17,15_entering singapore_travellers entering singapore_travellers entering_travellers,"[('entering singapore', 0.10239193842630795), ('travellers entering singapore', 0.10239193842630795), ('travellers entering', 0.10239193842630795), ('travellers', 0.10152886479380901), ('entering', 0.09948389894483031), ('asean countries japan', 0.09536478878813767), ('uk switzerland', 0.09536478878813767), ('asean countries', 0.09536478878813767), ('japan uk', 0.09536478878813767), ('switzerland', 0.09536478878813767)]",positive
17,16,16,16_mask_eyewear_kitajagakita_covid19,"[('mask', 0.04681098272155653), ('eyewear', 0.044870608455393146), ('kitajagakita', 0.029430259640889363), ('covid19', 0.021965486570870392), ('primarycareoptometry', 0.019663999761220043), ('primarycareoptometry eyewear', 0.019663999761220043), ('avoptometry', 0.019663999761220043), ('kaki bukit', 0.019663999761220043), ('kaki', 0.019663999761220043), ('sectsshopsale', 0.019663999761220043)]",positive
18,17,16,17_petition_allowance_critical allowance_critical,"[('petition', 0.08214714451692387), ('allowance', 0.07392323584468756), ('critical allowance', 0.06845595376410323), ('critical', 0.06744623464532512), ('doctors', 0.06082118248461317), ('reinstate', 0.0588606840954777), ('doctors reinstate critical', 0.0588606840954777), ('doctors reinstate', 0.0588606840954777), ('reinstate critical', 0.0588606840954777), ('allowance healthcare', 0.0588606840954777)]",positive
19,18,15,18_photography_airport_instagram_changi,"[('photography', 0.041806527553925325), ('airport', 0.036836385973192894), ('instagram', 0.03334058488881323), ('changi', 0.03157404511987962), ('travel travelphotography', 0.030546758151341183), ('singapore', 0.029567192609514778), ('travelphotography', 0.02925786197748762), ('student', 0.02673569954808997), ('student instagram', 0.02673569954808997), ('sony', 0.02673569954808997)]",positive
20,19,15,19_doctors_surgery_happy doctors_happy doctors day,"[('doctors', 0.03515598020539179), ('surgery', 0.03173028078234853), ('happy doctors', 0.024850109588355002), ('happy doctors day', 0.024850109588355002), ('doctors day', 0.0237977105867614), ('podcast', 0.0237977105867614), ('doctor', 0.022981715903676335), ('nurses', 0.018971276134475173), ('parkwayeasthospital', 0.0175559651731876), ('sen lecturer', 0.0175559651731876)]",positive
21,20,13,20_travelling_covid19_positive_travelling safe,"[('travelling', 0.03962261664317343), ('covid19', 0.035522310313829464), ('positive', 0.032250749827313824), ('travelling safe', 0.028266999656753816), ('journey reminder strictly', 0.028266999656753816), ('strictly adhere', 0.028266999656753816), ('celebrating travelling safe', 0.028266999656753816), ('wishes happy thaipusam', 0.028266999656753816), ('strictly', 0.028266999656753816), ('celebrating travelling', 0.028266999656753816)]",positive
22,21,12,21_enjoy beyourself_beyourself lovely_place country_place country cutest,"[('enjoy beyourself', 0.06908172107397077), ('beyourself lovely', 0.06908172107397077), ('place country', 0.06908172107397077), ('place country cutest', 0.06908172107397077), ('cutest beautiful', 0.06908172107397077), ('lovely place country', 0.06908172107397077), ('cutest beautiful life', 0.06908172107397077), ('cutest', 0.06908172107397077), ('chubby', 0.06908172107397077), ('enjoy beyourself lovely', 0.06908172107397077)]",positive
23,22,12,22_phuket_thailand_phuket thailand_phuketsandbox,"[('phuket', 0.15573896536606407), ('thailand', 0.0716385897677941), ('phuket thailand', 0.058218527300203195), ('phuketsandbox', 0.036396498544458616), ('resort', 0.03514850667621086), ('travelers', 0.030258682083964955), ('certificate ensures', 0.028504537468995443), ('administration', 0.028504537468995443), ('health administration', 0.028504537468995443), ('health administration sha', 0.028504537468995443)]",positive
24,23,12,23_quarantine_corona_singapore_world,"[('quarantine', 0.06194076530467091), ('corona', 0.049528973541984544), ('singapore', 0.036716890055857376), ('world', 0.03483348044145318), ('singapore happy weekend', 0.033093072768882514), ('19 better', 0.033093072768882514), ('philippines', 0.033093072768882514), ('spreading corona virus', 0.033093072768882514), ('quarantine due', 0.033093072768882514), ('due spreading corona', 0.033093072768882514)]",positive
25,24,11,24_coverage_flood relief_flood relief allowance_relief,"[('coverage', 0.12589800833286852), ('flood relief', 0.057083273479336866), ('flood relief allowance', 0.057083273479336866), ('relief', 0.057083273479336866), ('relief allowance', 0.057083273479336866), ('flood', 0.057083273479336866), ('coverage drivers', 0.0523410586051251), ('coverage drivers coverage', 0.0523410586051251), ('waiver', 0.0523410586051251), ('value coverage drivers', 0.0523410586051251)]",positive
26,25,11,25_foundation_every_158_paste mascara harga,"[('foundation', 0.07021886874597029), ('every', 0.050844819968619), ('158', 0.05014044235114484), ('paste mascara harga', 0.05014044235114484), ('harga 158', 0.05014044235114484), ('jaras kota damansara', 0.05014044235114484), ('harga 158 discount', 0.05014044235114484), ('merdeka sales treatment', 0.05014044235114484), ('kota damansara every', 0.05014044235114484), ('kota', 0.05014044235114484)]",positive
27,26,11,26_economy_sustain_humans_economic,"[('economy', 0.02759220818384544), ('sustain', 0.025992643362532243), ('humans', 0.024891858199945834), ('economic', 0.024891858199945834), ('government', 0.024514898074257878), ('let', 0.021389824315245765), ('growth', 0.021389824315245765), ('next', 0.019843518715370583), ('save next recession', 0.01836313598574795), ('economy growth 65', 0.01836313598574795)]",positive
