,Topic,Count,TopicLabel,WordScore,Sentiment
0,-1,11,-1_health_thailand_covid19_also,"[('health', 0.04654844411043016), ('thailand', 0.04610819488939957), ('covid19', 0.043409069861998884), ('also', 0.039521309905199635), ('teams vaccinating locals', 0.03514676399275348), ('campaign bangkok teams', 0.03514676399275348), ('sakhon', 0.03514676399275348), ('campaign bangkok', 0.03514676399275348), ('ifrc rt', 0.03514676399275348), ('ifrc', 0.03514676399275348)]",positive
1,0,21,0_health_amp_food_critical,"[('health', 0.05055086522314722), ('amp', 0.0434444697038524), ('food', 0.04014075048454741), ('critical', 0.03203386001540924), ('ukraine', 0.03203386001540924), ('safety', 0.02847454223591932), ('support', 0.026228589417897727), ('mental health', 0.023173150911153517), ('donate', 0.023173150911153517), ('help', 0.023173150911153517)]",positive
2,1,18,1_migrant_refugee_health_migrant refugee,"[('migrant', 0.054754616378422084), ('refugee', 0.04090409697504547), ('health', 0.03712091112603924), ('migrant refugee', 0.032486410929243696), ('workers', 0.028681148721299236), ('amp', 0.02842221530625449), ('women', 0.028028432044854043), ('refugee health', 0.028028432044854043), ('migrant refugee health', 0.028028432044854043), ('global', 0.02556506060940342)]",positive
